date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Philippines,Palawan,25.8,73,30.0,3,0.9,233
2026-05-17,Philippines,Palawan,27.6,88,34.3,3,2.2,185
2026-05-17,Philippines,Palawan,27.5,84,33.7,3,2.1,200
2026-05-17,Philippines,Palawan,27.7,83,33.8,3,2.5,225
2026-05-18,Philippines,Palawan,26.9,79,32.2,2,1.5,263
2026-05-19,Philippines,Palawan,27.6,80,32.9,0,4.8,138
2026-05-20,Philippines,Palawan,28.0,81,33.3,3,7.4,148
2026-05-21,Philippines,Palawan,27.7,84,33.7,0,3.4,137
2026-05-22,Philippines,Palawan,26.9,93,33.8,2,2.3,274
2026-05-23,Philippines,Palawan,27.2,93,34.4,3,1.2,231
2026-05-24,Philippines,Palawan,26.5,97,33.7,3,1.1,162
2026-05-25,Philippines,Palawan,26.2,94,33.0,2,1.0,301
2026-05-26,Philippines,Palawan,25.8,94,32.3,51,0.3,45
2026-05-27,Philippines,Palawan,25.2,96,31.2,51,2.9,317
2026-05-28,Philippines,Palawan,25.9,94,32.0,0,3.5,294
2026-05-29,Philippines,Palawan,27.1,87,33.5,3,0.9,259
2026-05-30,Philippines,Palawan,26.1,95,32.5,3,3.3,276
2026-05-31,Philippines,Palawan,26.4,97,33.6,3,0.7,90
2026-06-01,Philippines,Palawan,25.6,94,31.5,3,4.1,178
2026-06-02,Philippines,Palawan,25.8,89,31.2,3,4.1,209
2026-06-03,Philippines,Palawan,25.4,91,30.8,3,4.5,185
2026-06-04,Philippines,Palawan,25.9,93,31.6,3,6.0,190
2026-06-05,Philippines,Palawan,25.8,94,31.7,3,4.6,193
2026-06-06,Philippines,Palawan,27.2,90,33.2,3,7.4,162
2026-06-07,Philippines,Palawan,26.8,93,33.5,2,3.2,199
2026-06-08,Philippines,Palawan,26.3,89,31.8,1,5.9,182
2026-06-09,Philippines,Palawan,25.3,95,31.3,2,3.7,194
2026-06-10,Philippines,Palawan,26.0,91,32.2,3,1.7,162
2026-06-11,Philippines,Palawan,25.1,96,31.5,55,0.4,297
2026-06-12,Philippines,Palawan,26.3,89,32.4,2,1.2,297
2026-06-13,Philippines,Palawan,25.6,96,31.4,81,6.3,175
2026-06-14,Philippines,Palawan,27.1,92,34.2,3,0.7,270
2026-06-15,Philippines,Palawan,26.6,90,33.1,0,0.6,288
2026-06-16,Philippines,Palawan,26.4,91,32.9,0,1.1,288
2026-06-17,Philippines,Palawan,27.2,86,33.5,2,2.5,94
2026-06-18,Philippines,Palawan,27.4,88,34.1,3,1.9,61
2026-06-19,Philippines,Palawan,26.6,95,33.5,3,2.0,280
2026-06-20,Philippines,Palawan,27.2,95,34.3,51,3.5,24
2026-06-21,Philippines,Palawan,25.4,98,32.1,2,1.0,248
2026-06-22,Philippines,Palawan,25.5,96,31.6,3,3.6,207
2026-06-23,Philippines,Palawan,26.7,91,33.2,3,1.9,107
