date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Poland,Gdansk,11.0,68,9.4,3,3.3,6
2026-05-17,Poland,Gdansk,14.5,46,12.1,1,13.7,35
2026-05-17,Poland,Gdansk,14.1,49,11.4,3,13.6,32
2026-05-17,Poland,Gdansk,13.4,55,10.2,3,13.0,28
2026-05-18,Poland,Gdansk,10.1,75,7.2,3,13.0,354
2026-05-19,Poland,Gdansk,12.1,72,10.7,2,4.5,14
2026-05-20,Poland,Gdansk,14.2,70,13.1,2,5.2,16
2026-05-21,Poland,Gdansk,17.5,57,15.7,1,10.3,299
2026-05-22,Poland,Gdansk,17.5,56,16.6,1,4.0,80
2026-05-23,Poland,Gdansk,20.5,58,21.1,1,8.7,45
2026-05-24,Poland,Gdansk,23.9,47,24.0,3,11.4,325
2026-05-25,Poland,Gdansk,21.4,42,18.8,0,14.3,282
2026-05-26,Poland,Gdansk,20.6,41,17.6,2,15.2,277
2026-05-27,Poland,Gdansk,16.5,39,13.2,1,11.6,296
2026-05-28,Poland,Gdansk,13.4,49,10.6,1,8.0,18
2026-05-29,Poland,Gdansk,18.4,40,15.8,0,9.1,288
2026-05-30,Poland,Gdansk,19.5,57,17.3,3,17.9,289
2026-05-31,Poland,Gdansk,15.8,59,13.4,2,12.4,17
2026-06-01,Poland,Gdansk,13.1,78,12.6,0,2.5,270
2026-06-02,Poland,Gdansk,15.8,78,16.1,1,2.2,360
2026-06-03,Poland,Gdansk,18.2,68,17.7,3,8.4,149
2026-06-04,Poland,Gdansk,20.9,63,20.0,3,13.9,143
2026-06-05,Poland,Gdansk,15.7,81,15.3,61,8.4,295
2026-06-06,Poland,Gdansk,21.1,56,21.1,2,9.2,48
2026-06-07,Poland,Gdansk,21.0,57,18.8,3,19.8,258
2026-06-08,Poland,Gdansk,16.8,73,16.4,2,6.6,68
2026-06-09,Poland,Gdansk,16.8,84,16.9,61,8.4,295
2026-06-10,Poland,Gdansk,18.1,53,16.7,3,7.2,162
2026-06-11,Poland,Gdansk,14.4,73,14.3,2,0.8,153
2026-06-12,Poland,Gdansk,17.8,62,17.1,80,5.9,137
2026-06-13,Poland,Gdansk,17.9,59,16.1,61,12.3,265
2026-06-14,Poland,Gdansk,13.9,69,11.0,80,16.6,275
2026-06-15,Poland,Gdansk,15.6,71,13.6,80,14.6,254
2026-06-16,Poland,Gdansk,17.3,63,15.0,3,16.1,290
2026-06-17,Poland,Gdansk,20.0,53,18.6,2,11.9,284
2026-06-18,Poland,Gdansk,21.2,67,20.5,2,16.1,286
2026-06-19,Poland,Gdansk,23.9,57,25.1,3,9.2,64
2026-06-20,Poland,Gdansk,28.7,47,30.4,3,12.8,169
2026-06-21,Poland,Gdansk,28.9,53,31.9,3,8.6,68
2026-06-22,Poland,Gdansk,22.8,52,22.1,1,12.6,13
2026-06-23,Poland,Gdansk,22.7,44,23.1,0,8.8,35
2026-06-24,Poland,Gdansk,25.5,39,25.9,2,8.1,315
2026-06-25,Poland,Gdansk,26.8,47,28.3,0,11.1,36
2026-06-26,Poland,Gdansk,27.0,45,28.5,0,10.0,60
2026-06-27,Poland,Gdansk,33.0,32,34.8,0,8.3,214
2026-06-29,Poland,Gdansk,29.7,54,31.8,2,9.8,8
2026-06-30,Poland,Gdansk,23.4,47,23.0,2,15.6,23
2026-07-01,Poland,Gdansk,18.6,70,18.4,3,8.7,5
