date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Poland,Krakow,10.6,84,8.8,3,8.6,330
2026-05-17,Poland,Krakow,9.7,84,7.3,51,11.9,277
2026-05-17,Poland,Krakow,9.8,84,7.9,53,8.3,281
2026-05-17,Poland,Krakow,9.5,82,7.1,3,10.1,276
2026-05-18,Poland,Krakow,11.0,89,9.5,0,9.4,250
2026-05-19,Poland,Krakow,18.6,54,17.3,1,7.9,8
2026-05-20,Poland,Krakow,21.0,53,20.5,0,6.1,325
2026-05-21,Poland,Krakow,20.0,58,18.8,0,11.2,323
2026-05-22,Poland,Krakow,21.8,44,19.7,2,12.6,347
2026-05-23,Poland,Krakow,24.3,40,23.8,1,10.4,11
2026-05-24,Poland,Krakow,27.8,37,28.3,3,9.0,332
2026-05-25,Poland,Krakow,24.4,42,23.0,3,11.5,327
2026-05-26,Poland,Krakow,25.3,43,24.1,0,12.2,285
2026-05-27,Poland,Krakow,20.9,31,17.0,0,16.2,333
2026-05-28,Poland,Krakow,18.4,36,15.3,1,10.1,329
2026-05-29,Poland,Krakow,20.7,36,17.7,0,12.2,295
2026-05-30,Poland,Krakow,15.3,90,14.5,53,13.3,262
2026-05-31,Poland,Krakow,22.1,49,21.0,3,9.0,320
2026-06-01,Poland,Krakow,14.9,87,14.8,61,6.8,233
2026-06-02,Poland,Krakow,19.9,66,19.3,3,11.2,96
2026-06-03,Poland,Krakow,17.7,82,17.7,3,10.1,214
2026-06-04,Poland,Krakow,16.7,90,17.2,2,7.9,90
2026-06-05,Poland,Krakow,14.8,84,13.7,3,12.2,258
2026-06-06,Poland,Krakow,23.5,40,23.2,0,10.1,58
2026-06-07,Poland,Krakow,22.0,63,22.5,53,7.2,234
2026-06-08,Poland,Krakow,23.2,45,22.5,0,6.5,25
2026-06-09,Poland,Krakow,22.7,69,23.6,63,10.1,281
2026-06-10,Poland,Krakow,14.5,91,14.2,3,8.6,58
2026-06-11,Poland,Krakow,14.6,82,14.2,3,5.8,263
2026-06-12,Poland,Krakow,19.5,47,17.7,0,8.6,259
2026-06-13,Poland,Krakow,18.8,69,17.3,3,16.9,284
2026-06-14,Poland,Krakow,18.1,51,15.5,3,13.7,275
2026-06-15,Poland,Krakow,18.9,47,16.4,1,12.6,286
2026-06-16,Poland,Krakow,22.8,36,20.8,0,15.5,251
2026-06-17,Poland,Krakow,24.4,47,23.5,3,12.2,312
2026-06-18,Poland,Krakow,26.4,40,26.9,3,8.3,320
2026-06-19,Poland,Krakow,30.0,43,31.2,3,6.1,263
2026-06-20,Poland,Krakow,26.8,61,30.8,0,6.1,208
2026-06-21,Poland,Krakow,31.7,42,34.5,0,8.6,313
2026-06-22,Poland,Krakow,22.7,81,24.8,61,10.1,227
2026-06-23,Poland,Krakow,28.3,40,30.0,2,7.2,342
2026-06-24,Poland,Krakow,29.1,34,30.6,0,6.8,333
2026-06-25,Poland,Krakow,30.8,35,32.5,0,8.3,281
2026-06-26,Poland,Krakow,33.2,37,34.9,2,9.7,320
2026-06-27,Poland,Krakow,34.0,27,35.1,0,10.1,115
2026-06-29,Poland,Krakow,39.4,20,40.2,1,8.6,251
2026-06-30,Poland,Krakow,33.8,42,37.2,3,9.4,66
2026-07-01,Poland,Krakow,28.1,45,27.9,3,12.6,197
2026-07-02,Poland,Krakow,20.0,78,21.1,3,6.8,248
2026-07-03,Poland,Krakow,18.7,85,19.1,0,11.5,237
2026-07-04,Poland,Krakow,22.1,39,20.4,1,16.9,294
2026-07-05,Poland,Krakow,17.3,83,17.1,3,11.5,261
2026-07-06,Poland,Krakow,22.9,49,21.1,3,15.8,261
2026-07-07,Poland,Krakow,23.0,56,22.6,3,11.2,254
2026-07-08,Poland,Krakow,20.4,44,18.5,2,16.6,282
2026-07-09,Poland,Krakow,18.1,66,16.8,51,13.0,276
2026-07-10,Poland,Krakow,21.3,43,19.1,3,12.2,278
2026-07-11,Poland,Krakow,19.6,58,19.1,3,5.8,311
2026-07-12,Poland,Krakow,16.2,82,15.3,3,13.3,278
2026-07-13,Poland,Krakow,21.7,74,22.7,1,9.4,266
2026-07-14,Poland,Krakow,26.8,56,29.5,3,10.1,77
2026-07-15,Poland,Krakow,22.1,78,24.3,3,5.0,274
2026-07-16,Poland,Krakow,27.7,54,30.6,3,5.0,80
