date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Poland,Poznan,12.4,77,11.4,3,4.0,265
2026-05-17,Poland,Poznan,17.0,35,14.4,3,6.2,353
2026-05-17,Poland,Poznan,17.6,32,15.2,3,2.7,337
2026-05-17,Poland,Poznan,17.0,34,13.8,61,8.0,80
2026-05-18,Poland,Poznan,11.4,79,9.6,3,8.7,336
2026-05-19,Poland,Poznan,19.8,40,18.0,1,5.0,60
2026-05-20,Poland,Poznan,20.8,40,19.3,2,4.0,265
2026-05-21,Poland,Poznan,19.5,47,17.8,1,7.6,315
2026-05-22,Poland,Poznan,21.4,43,19.6,3,8.7,318
2026-05-23,Poland,Poznan,23.6,45,24.4,1,7.1,315
2026-05-24,Poland,Poznan,29.1,34,27.6,3,14.8,270
2026-05-25,Poland,Poznan,25.8,38,24.4,0,10.8,300
2026-05-26,Poland,Poznan,27.2,37,25.5,0,14.0,269
2026-05-27,Poland,Poznan,18.8,33,14.7,0,15.8,339
2026-05-28,Poland,Poznan,19.2,28,15.7,0,9.8,17
2026-05-29,Poland,Poznan,22.7,23,19.3,3,9.2,315
2026-05-30,Poland,Poznan,22.5,45,20.4,2,16.8,312
2026-05-31,Poland,Poznan,20.1,53,18.5,3,12.0,7
2026-06-01,Poland,Poznan,17.4,64,16.7,1,6.2,324
2026-06-02,Poland,Poznan,20.7,44,19.2,3,6.4,128
2026-06-03,Poland,Poznan,16.1,86,16.3,61,7.3,279
2026-06-04,Poland,Poznan,23.9,40,22.3,3,9.8,174
2026-06-05,Poland,Poznan,17.4,70,16.7,1,8.7,246
2026-06-06,Poland,Poznan,23.0,39,21.7,2,5.1,98
2026-06-07,Poland,Poznan,21.2,56,20.2,3,10.6,288
2026-06-08,Poland,Poznan,22.7,41,21.4,3,6.7,164
2026-06-09,Poland,Poznan,18.5,69,18.1,3,8.1,249
2026-06-10,Poland,Poznan,15.1,57,13.7,61,3.6,127
2026-06-11,Poland,Poznan,14.1,72,12.9,2,6.6,261
2026-06-12,Poland,Poznan,17.9,52,15.6,3,12.3,230
2026-06-13,Poland,Poznan,19.4,58,17.0,3,18.4,264
2026-06-14,Poland,Poznan,15.0,62,11.4,3,20.5,260
2026-06-15,Poland,Poznan,16.6,62,13.6,3,19.7,262
2026-06-16,Poland,Poznan,18.9,44,17.3,1,10.7,290
2026-06-17,Poland,Poznan,21.5,43,20.8,1,10.3,299
2026-06-18,Poland,Poznan,24.9,55,24.7,3,15.3,300
2026-06-19,Poland,Poznan,29.8,46,31.7,2,6.6,139
2026-06-20,Poland,Poznan,29.5,56,34.0,0,6.6,131
2026-06-21,Poland,Poznan,30.3,46,33.1,1,7.9,336
2026-06-22,Poland,Poznan,26.9,33,25.6,0,11.2,339
2026-06-23,Poland,Poznan,23.8,25,22.8,2,5.6,320
2026-06-24,Poland,Poznan,27.8,32,28.3,0,7.6,295
2026-06-25,Poland,Poznan,31.8,31,32.6,2,7.6,289
2026-06-26,Poland,Poznan,29.7,34,31.3,3,5.4,20
2026-06-27,Poland,Poznan,34.0,30,35.5,0,10.4,160
2026-06-29,Poland,Poznan,32.2,41,33.2,2,14.8,331
2026-06-30,Poland,Poznan,26.9,48,28.3,2,8.4,65
2026-07-01,Poland,Poznan,17.7,87,18.0,63,10.9,354
2026-07-02,Poland,Poznan,24.9,44,23.9,2,11.3,263
2026-07-03,Poland,Poznan,21.0,39,17.2,3,23.0,287
2026-07-04,Poland,Poznan,19.3,49,16.1,2,21.1,290
