date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Poland,Warsaw,11.8,88,10.9,3,6.5,7
2026-05-17,Poland,Warsaw,9.3,81,5.8,53,16.9,0
2026-05-17,Poland,Warsaw,9.0,86,5.8,51,16.2,6
2026-05-17,Poland,Warsaw,9.2,87,6.1,3,15.8,8
2026-05-18,Poland,Warsaw,16.5,70,15.7,2,7.6,30
2026-05-19,Poland,Warsaw,17.6,60,16.5,0,7.2,307
2026-05-20,Poland,Warsaw,18.6,70,18.2,0,9.7,92
2026-05-21,Poland,Warsaw,17.9,76,17.3,0,12.6,336
2026-05-22,Poland,Warsaw,21.5,40,19.3,3,10.4,353
2026-05-23,Poland,Warsaw,22.5,50,22.6,3,7.2,298
2026-05-24,Poland,Warsaw,25.6,47,24.9,3,11.9,301
2026-05-25,Poland,Warsaw,24.8,39,22.1,2,18.4,294
2026-05-26,Poland,Warsaw,25.3,43,23.1,0,19.1,295
2026-05-27,Poland,Warsaw,18.0,30,13.1,0,19.1,356
2026-05-28,Poland,Warsaw,16.4,26,10.7,0,21.6,337
2026-05-29,Poland,Warsaw,19.7,26,16.3,0,8.6,14
2026-05-30,Poland,Warsaw,18.5,75,17.3,3,17.3,285
