date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Poland,Wroclaw,11.9,80,10.4,3,7.4,309
2026-05-17,Poland,Wroclaw,14.9,42,12.0,3,7.2,3
2026-05-17,Poland,Wroclaw,14.9,43,12.2,3,6.6,9
2026-05-17,Poland,Wroclaw,13.6,55,10.9,61,9.5,101
2026-05-18,Poland,Wroclaw,12.5,68,10.8,3,5.7,18
2026-05-19,Poland,Wroclaw,19.2,42,17.4,3,5.2,102
2026-05-20,Poland,Wroclaw,20.5,41,18.7,3,6.6,315
2026-05-21,Poland,Wroclaw,19.5,47,17.4,3,10.4,314
2026-05-22,Poland,Wroclaw,21.6,44,19.9,3,9.8,354
2026-05-23,Poland,Wroclaw,23.5,48,22.6,2,10.3,348
2026-05-24,Poland,Wroclaw,28.3,37,29.1,3,8.6,292
2026-05-25,Poland,Wroclaw,25.1,38,23.8,0,8.4,329
2026-05-26,Poland,Wroclaw,27.3,35,25.7,0,11.4,288
2026-05-27,Poland,Wroclaw,20.4,28,16.1,0,16.2,347
2026-05-28,Poland,Wroclaw,19.0,29,15.7,0,8.2,322
