date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Portugal,Coimbra,15.7,65,13.3,1,14.6,327
2026-05-17,Portugal,Coimbra,19.3,54,18.3,3,11.9,331
2026-05-17,Portugal,Coimbra,20.1,52,19.2,3,13.0,321
2026-05-17,Portugal,Coimbra,19.9,58,18.0,3,17.3,312
2026-05-18,Portugal,Coimbra,17.9,53,15.5,3,13.7,297
2026-05-19,Portugal,Coimbra,19.6,77,19.9,3,11.3,307
2026-05-20,Portugal,Coimbra,26.4,50,26.3,0,12.8,328
2026-05-21,Portugal,Coimbra,27.4,37,26.6,3,8.4,335
2026-05-22,Portugal,Coimbra,27.6,34,25.1,3,18.3,328
2026-05-23,Portugal,Coimbra,26.3,63,30.5,2,3.9,292
2026-05-24,Portugal,Coimbra,26.0,67,30.8,1,5.9,281
2026-05-25,Portugal,Coimbra,25.6,53,25.5,0,13.5,299
2026-05-26,Portugal,Coimbra,31.6,45,33.4,2,8.4,7
2026-05-27,Portugal,Coimbra,28.8,36,27.5,0,13.9,291
2026-05-28,Portugal,Coimbra,22.4,67,22.9,0,10.9,314
2026-05-29,Portugal,Coimbra,21.7,73,22.4,3,10.9,314
2026-05-30,Portugal,Coimbra,24.5,61,27.1,2,11.2,318
2026-05-31,Portugal,Coimbra,26.3,49,27.0,3,16.1,320
2026-06-01,Portugal,Coimbra,17.8,87,18.3,3,10.2,337
2026-06-02,Portugal,Coimbra,16.3,75,15.1,2,12.2,332
2026-06-03,Portugal,Coimbra,19.0,83,20.0,2,8.2,311
2026-06-04,Portugal,Coimbra,19.3,61,17.0,1,19.8,331
2026-06-05,Portugal,Coimbra,19.3,48,16.5,3,15.6,310
2026-06-06,Portugal,Coimbra,24.3,50,25.1,2,11.9,335
2026-06-07,Portugal,Coimbra,24.2,47,23.6,0,17.8,318
2026-06-08,Portugal,Coimbra,21.5,70,20.9,1,18.1,325
2026-06-09,Portugal,Coimbra,20.7,54,18.3,0,18.6,324
2026-06-10,Portugal,Coimbra,23.7,50,22.9,0,11.2,327
2026-06-11,Portugal,Coimbra,27.6,43,27.9,0,6.3,329
2026-06-12,Portugal,Coimbra,30.7,32,29.5,3,12.4,296
2026-06-13,Portugal,Coimbra,32.9,28,32.0,2,10.5,322
2026-06-14,Portugal,Coimbra,28.2,57,31.9,3,9.4,277
2026-06-15,Portugal,Coimbra,23.4,67,24.6,2,14.8,311
2026-06-16,Portugal,Coimbra,26.1,65,29.6,0,13.0,309
2026-06-17,Portugal,Coimbra,26.8,67,31.6,2,9.0,293
2026-06-18,Portugal,Coimbra,25.0,66,28.8,3,8.2,308
2026-06-19,Portugal,Coimbra,25.1,61,28.1,1,10.9,314
2026-06-20,Portugal,Coimbra,24.5,69,28.2,2,7.9,321
2026-06-21,Portugal,Coimbra,28.1,66,33.4,2,6.8,295
2026-06-22,Portugal,Coimbra,25.4,73,27.9,3,10.6,280
2026-06-23,Portugal,Coimbra,27.7,73,32.5,3,5.3,298
2026-06-24,Portugal,Coimbra,28.2,62,32.1,3,7.4,284
2026-06-25,Portugal,Coimbra,23.8,66,24.3,2,20.5,178
2026-06-26,Portugal,Coimbra,25.6,57,26.3,3,12.6,211
2026-06-27,Portugal,Coimbra,24.3,60,27.0,1,7.3,281
2026-06-29,Portugal,Coimbra,29.4,54,33.7,0,10.5,319
2026-06-30,Portugal,Coimbra,27.4,68,32.7,1,8.2,311
2026-07-01,Portugal,Coimbra,32.2,45,36.0,0,11.1,13
2026-07-02,Portugal,Coimbra,31.6,29,30.9,0,20.1,66
2026-07-03,Portugal,Coimbra,34.7,28,35.1,0,17.7,66
2026-07-04,Portugal,Coimbra,34.8,29,36.8,0,8.0,72
