date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Portugal,Porto,14.8,68,12.2,1,15.8,330
2026-05-17,Portugal,Porto,17.8,60,16.6,3,12.6,283
2026-05-17,Portugal,Porto,17.3,68,16.2,2,15.9,295
2026-05-17,Portugal,Porto,17.4,64,16.2,2,18.4,312
2026-05-18,Portugal,Porto,16.0,69,14.5,3,10.7,256
2026-05-19,Portugal,Porto,16.8,91,17.6,3,6.9,242
2026-05-20,Portugal,Porto,22.3,49,21.5,1,7.7,323
2026-05-21,Portugal,Porto,26.0,40,25.9,3,3.3,13
2026-05-22,Portugal,Porto,23.7,42,21.8,2,13.5,331
2026-05-23,Portugal,Porto,27.6,43,29.8,3,6.1,28
2026-05-24,Portugal,Porto,22.4,69,25.3,3,9.0,254
2026-05-25,Portugal,Porto,21.9,64,22.4,1,7.2,270
2026-05-26,Portugal,Porto,27.7,39,27.8,3,4.3,336
2026-05-27,Portugal,Porto,27.8,37,27.1,0,8.1,302
2026-05-28,Portugal,Porto,19.3,75,19.4,1,10.5,308
2026-05-29,Portugal,Porto,19.2,81,19.7,2,10.1,305
2026-05-30,Portugal,Porto,21.5,72,23.9,3,10.5,297
2026-05-31,Portugal,Porto,23.4,51,22.9,3,17.1,318
2026-06-01,Portugal,Porto,16.8,94,17.6,3,7.7,319
2026-06-02,Portugal,Porto,16.0,78,14.8,0,12.7,331
2026-06-03,Portugal,Porto,17.5,93,18.4,3,8.6,292
2026-06-04,Portugal,Porto,17.9,60,15.1,1,19.0,327
2026-06-05,Portugal,Porto,17.5,60,15.9,0,10.5,266
