date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Portugal,Sintra,13.8,72,10.4,2,21.4,343
2026-05-17,Portugal,Sintra,16.5,72,15.8,2,16.6,319
2026-05-17,Portugal,Sintra,16.8,70,15.9,2,19.1,324
2026-05-17,Portugal,Sintra,16.8,69,15.4,2,21.5,329
2026-05-18,Portugal,Sintra,15.5,70,13.6,2,13.5,304
2026-05-19,Portugal,Sintra,17.0,80,16.1,2,14.3,319
2026-05-20,Portugal,Sintra,22.1,58,21.8,0,9.5,323
2026-05-21,Portugal,Sintra,26.6,42,26.9,3,3.2,360
2026-05-22,Portugal,Sintra,23.4,42,20.4,3,20.3,340
2026-05-23,Portugal,Sintra,23.9,62,25.9,3,12.7,345
2026-05-24,Portugal,Sintra,24.1,56,26.9,3,2.7,203
2026-05-25,Portugal,Sintra,23.2,55,23.3,3,7.9,309
2026-05-26,Portugal,Sintra,27.8,41,28.1,2,5.4,250
2026-05-27,Portugal,Sintra,23.5,46,22.1,1,12.3,285
2026-05-28,Portugal,Sintra,19.1,77,18.0,0,19.4,342
2026-05-29,Portugal,Sintra,18.3,79,17.0,1,19.7,342
2026-05-30,Portugal,Sintra,21.7,62,21.8,0,22.5,348
2026-05-31,Portugal,Sintra,21.5,60,20.7,2,22.7,345
2026-06-01,Portugal,Sintra,16.3,96,15.2,3,20.9,345
2026-06-02,Portugal,Sintra,15.1,74,11.8,2,24.1,346
2026-06-03,Portugal,Sintra,16.8,94,16.8,2,13.4,324
2026-06-04,Portugal,Sintra,17.6,69,14.9,1,22.1,344
2026-06-05,Portugal,Sintra,17.1,63,14.3,3,19.5,322
2026-06-06,Portugal,Sintra,21.1,68,21.8,2,17.7,343
2026-06-07,Portugal,Sintra,19.3,69,18.1,2,23.5,339
2026-06-08,Portugal,Sintra,18.0,86,17.0,2,20.7,337
2026-06-09,Portugal,Sintra,17.2,61,13.1,0,27.7,347
2026-06-10,Portugal,Sintra,18.8,59,15.9,0,20.9,349
2026-06-11,Portugal,Sintra,23.1,51,22.8,0,7.1,336
2026-06-12,Portugal,Sintra,24.6,50,23.9,3,12.6,333
2026-06-13,Portugal,Sintra,27.4,39,27.6,3,9.7,272
2026-06-14,Portugal,Sintra,24.1,58,26.7,1,9.4,293
2026-06-15,Portugal,Sintra,20.9,68,20.5,1,22.3,337
2026-06-16,Portugal,Sintra,22.4,67,23.7,1,19.1,344
2026-06-17,Portugal,Sintra,24.0,62,26.6,0,13.2,343
2026-06-18,Portugal,Sintra,23.3,61,25.6,0,13.1,339
2026-06-19,Portugal,Sintra,22.6,61,24.1,1,15.4,339
2026-06-20,Portugal,Sintra,22.8,71,24.7,2,15.3,345
2026-06-21,Portugal,Sintra,26.4,60,29.7,1,11.1,347
2026-06-22,Portugal,Sintra,21.6,76,22.2,3,13.4,340
2026-06-23,Portugal,Sintra,26.8,57,29.4,3,7.8,167
2026-06-24,Portugal,Sintra,23.3,60,24.9,3,10.4,194
2026-06-25,Portugal,Sintra,20.3,80,19.5,2,21.7,192
2026-06-26,Portugal,Sintra,22.1,69,23.7,3,12.9,210
2026-06-27,Portugal,Sintra,21.9,67,24.0,2,8.6,285
2026-06-29,Portugal,Sintra,23.8,63,25.6,1,18.1,343
2026-06-30,Portugal,Sintra,23.4,70,25.6,1,16.3,342
2026-07-01,Portugal,Sintra,24.4,63,27.0,0,14.0,342
2026-07-02,Portugal,Sintra,33.7,27,35.1,0,10.0,77
2026-07-03,Portugal,Sintra,33.6,27,35.1,0,8.9,137
2026-07-04,Portugal,Sintra,32.3,29,33.5,1,8.3,342
2026-07-05,Portugal,Sintra,29.6,41,30.4,3,6.2,350
2026-07-06,Portugal,Sintra,28.1,36,29.1,0,12.7,325
2026-07-07,Portugal,Sintra,25.0,62,27.6,0,14.6,344
2026-07-08,Portugal,Sintra,24.3,60,26.5,3,11.5,356
2026-07-09,Portugal,Sintra,21.2,70,22.2,1,18.3,328
2026-07-10,Portugal,Sintra,22.0,63,23.1,1,15.5,338
2026-07-11,Portugal,Sintra,20.2,67,21.5,3,3.6,307
2026-07-12,Portugal,Sintra,19.9,80,20.2,2,13.2,197
2026-07-13,Portugal,Sintra,22.6,67,23.7,3,9.7,266
2026-07-14,Portugal,Sintra,22.5,69,24.2,2,8.7,343
2026-07-15,Portugal,Sintra,23.5,62,24.6,3,8.6,268
2026-07-16,Portugal,Sintra,23.7,65,26.1,1,10.0,308
2026-07-17,Portugal,Sintra,21.6,72,22.2,2,15.3,330
2026-07-18,Portugal,Sintra,21.2,71,21.2,3,15.0,330
2026-07-19,Portugal,Sintra,21.7,65,21.8,2,15.3,326
2026-07-20,Portugal,Sintra,22.4,69,23.5,2,14.3,309
2026-07-21,Portugal,Sintra,23.4,68,25.6,2,9.4,274
2026-07-22,Portugal,Sintra,22.9,64,24.9,1,10.5,301
2026-07-23,Portugal,Sintra,23.1,62,24.7,1,11.9,305
2026-07-24,Portugal,Sintra,21.9,70,22.6,2,16.0,306
2026-07-25,Portugal,Sintra,21.9,68,21.8,2,18.4,334
2026-07-26,Portugal,Sintra,22.8,64,23.5,1,17.0,354
2026-07-27,Portugal,Sintra,32.4,33,36.3,0,1.1,18
2026-07-28,Portugal,Sintra,25.9,66,29.9,0,8.4,340
2026-07-29,Portugal,Sintra,23.3,68,25.8,1,11.3,338
2026-07-30,Portugal,Sintra,22.8,63,23.8,2,15.3,341
2026-07-31,Portugal,Sintra,23.8,61,24.7,1,17.7,356
2026-08-02,Portugal,Sintra,22.4,68,23.5,3,13.5,335
2026-08-03,Portugal,Sintra,23.2,77,24.2,3,16.8,211
2026-08-05,Portugal,Sintra,24.0,65,25.8,1,14.5,337
2026-08-06,Portugal,Sintra,24.0,60,24.5,0,19.2,343
2026-08-07,Portugal,Sintra,22.9,71,23.9,1,15.0,336
2026-08-08,Portugal,Sintra,24.2,67,25.5,0,11.1,335
2026-08-09,Portugal,Sintra,22.7,73,23.6,2,12.2,332
2026-08-10,Portugal,Sintra,23.3,68,23.9,2,16.1,340
2026-08-11,Portugal,Sintra,23.7,66,24.4,2,14.6,350
2026-08-12,Portugal,Sintra,24.1,66,25.3,1,13.3,358
2026-08-13,Portugal,Sintra,23.7,68,24.7,1,15.3,352
2026-08-14,Portugal,Sintra,23.0,72,23.3,2,19.2,347
2026-08-15,Portugal,Sintra,21.7,80,21.9,2,19.5,344
2026-08-16,Portugal,Sintra,24.3,70,26.9,0,4.8,77
2026-08-17,Portugal,Sintra,25.9,63,28.5,3,3.4,212
2026-08-18,Portugal,Sintra,25.1,63,26.7,0,7.6,175
2026-08-19,Portugal,Sintra,22.1,76,24.0,2,6.5,180
2026-08-20,Portugal,Sintra,21.8,75,23.0,3,10.0,311
2026-08-21,Portugal,Sintra,19.6,70,17.8,2,21.6,349
