date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Romania,Brasov,14.2,72,13.1,3,6.3,114
2026-05-17,Romania,Brasov,14.8,65,12.7,3,11.8,117
2026-05-17,Romania,Brasov,15.1,63,13.1,2,10.8,90
2026-05-17,Romania,Brasov,15.7,57,13.4,1,10.7,78
2026-05-18,Romania,Brasov,15.8,66,14.8,3,5.8,300
2026-05-19,Romania,Brasov,14.6,84,15.0,3,1.5,284
2026-05-20,Romania,Brasov,14.8,83,14.4,80,6.5,264
2026-05-21,Romania,Brasov,13.5,91,13.3,61,5.8,263
2026-05-22,Romania,Brasov,15.5,92,16.6,95,1.9,292
2026-05-23,Romania,Brasov,19.1,69,20.1,2,2.9,30
2026-05-24,Romania,Brasov,20.9,44,20.7,3,7.9,336
2026-05-25,Romania,Brasov,21.5,54,21.0,3,7.8,283
2026-05-26,Romania,Brasov,19.8,59,19.4,2,5.8,270
2026-05-27,Romania,Brasov,20.4,57,19.9,2,6.4,218
2026-05-28,Romania,Brasov,14.8,38,11.3,2,10.3,299
2026-05-29,Romania,Brasov,13.2,40,10.0,3,7.4,313
2026-05-30,Romania,Brasov,18.5,40,15.0,1,18.5,307
2026-05-31,Romania,Brasov,18.7,61,16.8,3,14.8,309
2026-06-01,Romania,Brasov,14.0,95,14.9,61,1.1,270
2026-06-02,Romania,Brasov,13.2,92,13.1,3,4.7,180
2026-06-03,Romania,Brasov,15.3,77,14.6,0,7.6,172
2026-06-04,Romania,Brasov,18.3,78,19.1,3,4.7,171
2026-06-05,Romania,Brasov,20.9,63,21.1,3,6.9,208
2026-06-06,Romania,Brasov,22.1,77,24.4,80,3.8,343
2026-06-07,Romania,Brasov,19.8,75,20.2,2,10.0,296
2026-06-08,Romania,Brasov,19.5,66,20.1,2,3.0,256
2026-06-09,Romania,Brasov,21.2,57,21.4,3,3.8,253
2026-06-10,Romania,Brasov,19.1,73,19.4,0,7.3,169
2026-06-11,Romania,Brasov,16.8,97,18.4,45,4.0,170
2026-06-12,Romania,Brasov,13.4,87,13.0,3,5.4,217
2026-06-13,Romania,Brasov,17.7,55,15.5,3,12.3,308
2026-06-14,Romania,Brasov,22.4,47,21.8,1,15.5,295
2026-06-15,Romania,Brasov,16.1,66,14.6,3,10.5,297
2026-06-16,Romania,Brasov,21.1,37,19.8,0,9.9,303
2026-06-17,Romania,Brasov,20.8,49,18.7,3,13.8,298
2026-06-18,Romania,Brasov,21.3,50,21.5,2,10.7,312
2026-06-19,Romania,Brasov,23.4,45,23.5,2,7.4,331
2026-06-20,Romania,Brasov,24.7,51,25.4,3,7.7,332
2026-06-21,Romania,Brasov,27.0,52,29.1,2,8.2,345
2026-06-22,Romania,Brasov,24.2,74,27.4,80,1.8,281
2026-06-23,Romania,Brasov,23.7,72,26.0,3,5.2,16
2026-06-24,Romania,Brasov,24.8,61,28.0,3,0.8,333
2026-06-25,Romania,Brasov,27.3,47,28.7,2,10.7,320
2026-06-26,Romania,Brasov,27.9,39,28.5,3,10.0,322
2026-06-27,Romania,Brasov,28.3,36,29.8,1,7.9,24
2026-06-29,Romania,Brasov,32.7,34,34.1,3,9.5,335
2026-06-30,Romania,Brasov,29.1,54,31.7,3,8.4,7
2026-07-01,Romania,Brasov,28.5,49,29.8,3,10.6,72
2026-07-02,Romania,Brasov,27.7,50,30.3,3,3.2,243
2026-07-03,Romania,Brasov,22.6,83,25.6,80,6.3,294
2026-07-04,Romania,Brasov,19.9,57,19.1,2,19.1,292
2026-07-05,Romania,Brasov,20.6,45,18.1,3,14.1,308
2026-07-06,Romania,Brasov,22.7,47,21.4,3,14.3,315
2026-07-07,Romania,Brasov,21.8,54,20.6,3,12.4,292
2026-07-08,Romania,Brasov,20.8,73,20.8,3,13.1,279
2026-07-09,Romania,Brasov,18.0,71,17.4,3,12.3,302
2026-07-10,Romania,Brasov,18.2,56,16.5,3,11.6,296
2026-07-11,Romania,Brasov,22.3,46,20.9,3,11.4,298
2026-07-12,Romania,Brasov,21.3,70,22.7,2,4.9,216
2026-07-13,Romania,Brasov,17.4,84,18.2,80,5.3,298
2026-07-14,Romania,Brasov,20.4,73,20.9,3,9.4,293
2026-07-15,Romania,Brasov,24.0,69,28.1,1,5.7,35
2026-07-16,Romania,Brasov,25.1,63,28.5,3,5.9,11
2026-07-17,Romania,Brasov,25.9,54,28.5,1,4.6,18
2026-07-18,Romania,Brasov,27.8,51,31.6,0,4.0,350
2026-07-19,Romania,Brasov,27.6,53,30.9,3,4.0,5
2026-07-20,Romania,Brasov,21.8,85,24.6,95,5.2,295
2026-07-21,Romania,Brasov,22.2,55,24.0,1,8.2,299
2026-07-22,Romania,Brasov,14.9,95,15.8,61,3.0,346
