date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Romania,Cluj-Napoca,16.1,65,15.8,3,1.1,342
2026-05-17,Romania,Cluj-Napoca,19.7,48,17.9,3,10.0,120
2026-05-17,Romania,Cluj-Napoca,19.3,51,17.4,3,11.5,148
2026-05-17,Romania,Cluj-Napoca,19.4,51,17.8,3,9.6,167
2026-05-18,Romania,Cluj-Napoca,13.8,80,12.3,3,11.5,319
2026-05-19,Romania,Cluj-Napoca,17.4,59,15.8,2,9.5,335
2026-05-20,Romania,Cluj-Napoca,19.3,50,17.3,2,11.1,324
2026-05-21,Romania,Cluj-Napoca,18.1,66,17.2,3,9.4,320
2026-05-22,Romania,Cluj-Napoca,20.0,61,18.9,1,12.5,319
2026-05-23,Romania,Cluj-Napoca,23.9,40,24.3,0,8.2,38
2026-05-24,Romania,Cluj-Napoca,24.4,34,23.7,2,11.2,6
2026-05-25,Romania,Cluj-Napoca,24.9,37,22.4,2,15.8,319
2026-05-26,Romania,Cluj-Napoca,23.3,44,22.5,1,6.2,306
2026-05-27,Romania,Cluj-Napoca,25.1,29,22.0,3,14.7,298
2026-05-28,Romania,Cluj-Napoca,15.9,34,12.7,2,8.1,328
2026-05-29,Romania,Cluj-Napoca,15.5,40,13.1,2,4.1,255
2026-05-30,Romania,Cluj-Napoca,22.7,27,18.6,3,21.9,315
2026-05-31,Romania,Cluj-Napoca,21.9,41,18.6,1,19.4,320
2026-06-01,Romania,Cluj-Napoca,16.1,89,16.7,61,5.9,142
2026-06-02,Romania,Cluj-Napoca,15.3,90,15.6,2,5.8,176
2026-06-03,Romania,Cluj-Napoca,15.9,73,15.4,2,5.8,173
2026-06-04,Romania,Cluj-Napoca,21.6,71,22.1,3,10.7,315
2026-06-05,Romania,Cluj-Napoca,22.2,71,23.1,3,9.7,309
2026-06-06,Romania,Cluj-Napoca,23.0,59,23.1,3,9.7,329
2026-06-07,Romania,Cluj-Napoca,23.9,47,22.2,2,15.5,318
2026-06-08,Romania,Cluj-Napoca,22.0,46,21.3,1,4.7,337
2026-06-09,Romania,Cluj-Napoca,25.0,38,24.6,0,2.8,50
2026-06-10,Romania,Cluj-Napoca,24.1,46,23.8,2,5.8,158
2026-06-11,Romania,Cluj-Napoca,18.6,69,19.1,3,3.3,264
2026-06-12,Romania,Cluj-Napoca,17.6,51,15.2,0,12.0,314
2026-06-13,Romania,Cluj-Napoca,19.7,55,18.4,2,9.9,316
2026-06-14,Romania,Cluj-Napoca,22.9,55,22.4,80,11.4,283
2026-06-15,Romania,Cluj-Napoca,19.7,43,16.2,2,18.4,282
2026-06-16,Romania,Cluj-Napoca,24.2,29,21.0,1,17.4,300
2026-06-17,Romania,Cluj-Napoca,21.0,68,22.5,3,1.5,256
2026-06-18,Romania,Cluj-Napoca,23.2,47,24.0,2,9.2,349
2026-06-19,Romania,Cluj-Napoca,26.3,43,27.6,1,7.2,354
2026-06-20,Romania,Cluj-Napoca,27.8,45,28.8,3,10.5,352
2026-06-21,Romania,Cluj-Napoca,29.0,50,31.8,2,6.4,333
2026-06-22,Romania,Cluj-Napoca,25.2,72,27.8,3,8.0,306
2026-06-23,Romania,Cluj-Napoca,27.8,50,30.2,3,3.7,61
2026-06-24,Romania,Cluj-Napoca,28.8,49,31.7,2,4.1,45
2026-06-25,Romania,Cluj-Napoca,30.1,32,30.3,0,14.0,325
2026-06-26,Romania,Cluj-Napoca,29.9,38,30.4,1,11.4,13
2026-06-27,Romania,Cluj-Napoca,31.6,35,34.4,1,5.9,43
2026-06-29,Romania,Cluj-Napoca,35.1,27,34.5,2,11.9,360
2026-06-30,Romania,Cluj-Napoca,35.3,32,37.3,80,12.0,83
2026-07-01,Romania,Cluj-Napoca,32.3,36,34.2,3,9.9,123
2026-07-02,Romania,Cluj-Napoca,27.2,60,30.0,3,4.1,322
2026-07-03,Romania,Cluj-Napoca,24.8,61,25.3,3,15.0,318
2026-07-04,Romania,Cluj-Napoca,22.9,34,20.6,2,19.9,325
2026-07-05,Romania,Cluj-Napoca,22.9,35,20.3,3,11.8,310
2026-07-06,Romania,Cluj-Napoca,24.4,34,22.6,3,13.7,325
2026-07-07,Romania,Cluj-Napoca,22.7,55,22.6,61,7.9,270
2026-07-08,Romania,Cluj-Napoca,21.6,53,19.5,3,17.9,285
2026-07-09,Romania,Cluj-Napoca,20.8,38,17.6,3,15.4,323
2026-07-10,Romania,Cluj-Napoca,20.5,53,20.4,3,9.2,315
2026-07-11,Romania,Cluj-Napoca,23.3,59,25.5,2,8.7,114
2026-07-12,Romania,Cluj-Napoca,22.8,63,24.0,80,7.1,330
2026-07-13,Romania,Cluj-Napoca,22.2,53,21.9,3,10.5,333
2026-07-14,Romania,Cluj-Napoca,25.3,55,26.5,1,12.4,330
2026-07-15,Romania,Cluj-Napoca,27.2,54,29.3,3,6.3,114
2026-07-16,Romania,Cluj-Napoca,28.0,52,31.1,2,7.2,84
2026-07-17,Romania,Cluj-Napoca,29.4,45,32.3,3,6.3,103
2026-07-18,Romania,Cluj-Napoca,30.3,47,33.3,3,9.5,127
2026-07-19,Romania,Cluj-Napoca,27.4,52,29.5,3,1.8,79
2026-07-20,Romania,Cluj-Napoca,26.3,44,25.4,2,17.0,324
2026-07-21,Romania,Cluj-Napoca,25.8,33,25.6,2,8.1,302
2026-07-22,Romania,Cluj-Napoca,19.8,64,20.5,3,1.5,14
