date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Romania,Sibiu,15.8,67,14.9,61,5.6,195
2026-05-17,Romania,Sibiu,16.9,65,15.8,3,8.4,133
2026-05-17,Romania,Sibiu,17.1,65,15.3,3,13.6,130
2026-05-17,Romania,Sibiu,17.3,66,16.1,2,10.7,132
2026-05-18,Romania,Sibiu,13.9,71,11.0,3,17.5,302
2026-05-19,Romania,Sibiu,16.0,69,15.6,3,3.5,294
2026-05-20,Romania,Sibiu,17.3,67,16.8,2,5.6,297
2026-05-21,Romania,Sibiu,15.4,79,15.3,61,4.3,265
2026-05-22,Romania,Sibiu,15.6,93,16.3,63,5.9,256
2026-05-23,Romania,Sibiu,21.4,53,20.7,3,9.7,88
2026-05-24,Romania,Sibiu,24.2,36,24.2,1,8.2,23
2026-05-25,Romania,Sibiu,24.8,39,23.2,2,11.0,337
2026-05-26,Romania,Sibiu,23.5,41,22.5,1,6.5,357
