date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Russia,Moscow,18.3,54,17.3,2,5.0,300
2026-05-17,Russia,Moscow,26.3,45,26.4,2,6.6,103
2026-05-17,Russia,Moscow,26.3,42,26.0,3,7.2,84
2026-05-17,Russia,Moscow,23.9,57,23.9,3,11.2,92
2026-05-18,Russia,Moscow,25.5,27,23.4,3,6.2,83
2026-05-19,Russia,Moscow,26.1,27,24.6,2,2.9,83
2026-05-20,Russia,Moscow,23.4,41,22.6,1,4.7,67
2026-05-21,Russia,Moscow,24.0,51,24.3,0,5.6,117
2026-05-22,Russia,Moscow,25.3,46,25.3,2,6.3,156
2026-05-23,Russia,Moscow,21.1,41,19.3,3,10.4,284
2026-05-24,Russia,Moscow,22.1,50,21.2,2,8.9,249
2026-05-25,Russia,Moscow,17.6,46,15.2,3,9.6,290
2026-05-26,Russia,Moscow,9.8,75,7.7,61,7.2,297
