date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Russia,Novosibirsk,8.6,99,6.5,3,11.9,338
2026-05-17,Russia,Novosibirsk,8.8,48,3.6,1,19.4,350
2026-05-17,Russia,Novosibirsk,7.2,48,1.8,3,19.3,357
2026-05-17,Russia,Novosibirsk,4.6,56,0.4,1,10.8,11
2026-05-18,Russia,Novosibirsk,2.3,67,-1.5,0,8.4,56
2026-05-19,Russia,Novosibirsk,6.7,71,4.3,1,3.8,245
2026-05-20,Russia,Novosibirsk,8.6,92,6.1,55,12.5,185
2026-05-21,Russia,Novosibirsk,2.5,86,-0.8,0,8.6,337
2026-05-22,Russia,Novosibirsk,2.5,66,-0.2,2,0.7,284
2026-05-23,Russia,Novosibirsk,7.8,94,3.6,55,23.2,210
2026-05-24,Russia,Novosibirsk,7.7,56,3.3,3,14.7,340
2026-05-25,Russia,Novosibirsk,10.8,61,7.0,2,15.4,187
2026-05-26,Russia,Novosibirsk,12.8,86,12.4,0,4.0,111
2026-05-27,Russia,Novosibirsk,16.4,90,16.0,51,13.1,47
2026-05-28,Russia,Novosibirsk,15.4,93,16.0,2,5.6,158
2026-05-29,Russia,Novosibirsk,13.1,76,11.1,0,12.0,219
2026-05-30,Russia,Novosibirsk,16.5,62,15.1,3,8.7,283
2026-05-31,Russia,Novosibirsk,12.4,95,12.6,0,2.0,95
2026-06-01,Russia,Novosibirsk,12.4,71,10.6,2,7.6,108
2026-06-02,Russia,Novosibirsk,16.0,74,15.9,3,3.2,109
2026-06-03,Russia,Novosibirsk,16.5,70,15.3,0,9.8,67
2026-06-04,Russia,Novosibirsk,19.6,51,17.5,0,12.8,75
2026-06-05,Russia,Novosibirsk,19.3,57,17.5,0,13.9,69
2026-06-06,Russia,Novosibirsk,29.1,27,27.5,3,8.2,352
2026-06-07,Russia,Novosibirsk,26.5,39,26.0,2,5.9,45
2026-06-08,Russia,Novosibirsk,21.1,71,21.8,0,8.0,354
2026-06-09,Russia,Novosibirsk,22.3,55,22.0,0,7.4,67
2026-06-10,Russia,Novosibirsk,22.2,54,21.5,3,10.2,82
2026-06-11,Russia,Novosibirsk,21.9,73,22.7,3,10.7,119
2026-06-12,Russia,Novosibirsk,19.1,84,20.2,0,8.0,96
2026-06-13,Russia,Novosibirsk,19.5,83,20.3,0,10.1,88
2026-06-14,Russia,Novosibirsk,24.8,58,26.1,51,4.4,52
2026-06-15,Russia,Novosibirsk,21.3,67,21.8,0,7.3,42
2026-06-16,Russia,Novosibirsk,26.1,37,24.6,0,10.6,66
2026-06-17,Russia,Novosibirsk,27.0,39,25.2,0,15.4,54
2026-06-18,Russia,Novosibirsk,25.1,22,20.7,0,17.5,73
2026-06-19,Russia,Novosibirsk,26.7,26,23.1,0,17.0,53
2026-06-20,Russia,Novosibirsk,29.6,22,26.5,0,12.9,43
2026-06-21,Russia,Novosibirsk,31.5,21,28.8,3,12.2,37
2026-06-22,Russia,Novosibirsk,26.6,35,25.1,0,10.1,61
2026-06-23,Russia,Novosibirsk,28.6,31,26.2,3,15.5,57
2026-06-24,Russia,Novosibirsk,29.4,30,27.6,1,12.0,60
2026-06-25,Russia,Novosibirsk,29.8,33,29.1,51,8.1,135
2026-06-26,Russia,Novosibirsk,20.5,94,23.1,53,7.1,49
2026-06-27,Russia,Novosibirsk,28.0,36,26.2,1,15.2,280
2026-06-29,Russia,Novosibirsk,29.2,45,30.5,3,5.1,207
2026-06-30,Russia,Novosibirsk,27.8,41,26.8,1,14.5,259
2026-07-01,Russia,Novosibirsk,28.5,30,27.1,2,8.4,75
2026-07-02,Russia,Novosibirsk,29.9,31,29.0,0,7.4,77
