date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Russia,Vladivostok,11.8,85,10.4,3,8.1,13
2026-05-17,Russia,Vladivostok,9.1,93,6.4,3,15.3,177
2026-05-17,Russia,Vladivostok,9.1,92,6.5,3,14.2,176
2026-05-17,Russia,Vladivostok,9.1,94,6.5,3,13.8,172
2026-05-18,Russia,Vladivostok,10.9,99,10.3,53,5.5,142
2026-05-19,Russia,Vladivostok,8.4,96,6.9,3,5.8,150
2026-05-20,Russia,Vladivostok,11.3,96,10.8,3,4.9,6
2026-05-21,Russia,Vladivostok,9.8,93,8.4,0,7.0,140
2026-05-22,Russia,Vladivostok,8.9,93,6.4,3,13.1,188
2026-05-23,Russia,Vladivostok,11.0,65,6.8,3,20.2,171
2026-05-24,Russia,Vladivostok,10.3,92,7.5,2,17.9,156
2026-05-25,Russia,Vladivostok,12.3,100,11.7,3,9.0,145
