date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Saudi Arabia,Dammam,33.5,26,32.0,0,12.9,132
2026-05-17,Saudi Arabia,Dammam,31.4,19,27.5,0,21.0,351
2026-05-17,Saudi Arabia,Dammam,30.8,20,26.7,0,20.2,351
2026-05-17,Saudi Arabia,Dammam,29.4,25,26.3,0,16.2,352
2026-05-18,Saudi Arabia,Dammam,29.4,33,29.2,0,3.8,19
2026-05-19,Saudi Arabia,Dammam,32.2,39,32.9,0,10.0,96
2026-05-20,Saudi Arabia,Dammam,28.1,40,28.0,0,7.4,342
2026-05-21,Saudi Arabia,Dammam,33.2,23,31.5,0,9.7,141
2026-05-22,Saudi Arabia,Dammam,28.3,43,27.9,0,12.6,336
2026-05-23,Saudi Arabia,Dammam,32.8,29,31.3,0,17.8,2
2026-05-24,Saudi Arabia,Dammam,40.3,14,38.1,0,13.7,358
2026-05-25,Saudi Arabia,Dammam,31.0,38,30.9,0,11.5,346
