date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Saudi Arabia,Jeddah,29.2,45,29.6,0,11.2,2
2026-05-17,Saudi Arabia,Jeddah,32.5,53,35.5,0,19.2,307
2026-05-17,Saudi Arabia,Jeddah,32.2,56,34.7,0,19.5,316
2026-05-17,Saudi Arabia,Jeddah,32.1,50,33.6,0,17.1,332
2026-05-18,Saudi Arabia,Jeddah,37.5,19,35.7,0,12.3,27
2026-05-19,Saudi Arabia,Jeddah,35.2,28,35.5,0,6.5,23
2026-05-20,Saudi Arabia,Jeddah,30.4,66,35.7,0,2.7,337
2026-05-21,Saudi Arabia,Jeddah,29.8,60,32.7,0,10.0,342
2026-05-22,Saudi Arabia,Jeddah,30.5,50,31.9,0,13.9,340
2026-05-23,Saudi Arabia,Jeddah,32.7,54,35.4,0,20.9,325
2026-05-24,Saudi Arabia,Jeddah,34.0,47,36.4,0,18.9,325
2026-05-25,Saudi Arabia,Jeddah,29.8,59,32.0,0,14.8,346
2026-05-26,Saudi Arabia,Jeddah,29.5,57,31.5,0,12.4,346
2026-05-27,Saudi Arabia,Jeddah,29.0,64,32.1,0,10.1,349
2026-05-28,Saudi Arabia,Jeddah,29.3,57,31.3,0,12.7,354
2026-05-29,Saudi Arabia,Jeddah,29.0,55,30.0,0,16.5,354
2026-05-30,Saudi Arabia,Jeddah,31.8,51,33.1,0,21.2,325
2026-05-31,Saudi Arabia,Jeddah,30.2,59,32.6,0,14.9,326
