date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Saudi Arabia,Medina,32.0,19,29.0,1,12.7,301
2026-05-17,Saudi Arabia,Medina,40.3,6,37.5,0,10.0,347
2026-05-17,Saudi Arabia,Medina,40.8,6,36.2,0,16.0,337
2026-05-17,Saudi Arabia,Medina,40.0,6,33.6,0,26.4,355
2026-05-18,Saudi Arabia,Medina,36.3,10,33.1,0,7.9,184
2026-05-19,Saudi Arabia,Medina,37.8,10,34.4,0,10.0,247
2026-05-20,Saudi Arabia,Medina,37.1,12,33.3,0,15.3,283
2026-05-21,Saudi Arabia,Medina,34.2,20,30.8,0,20.7,236
2026-05-22,Saudi Arabia,Medina,36.0,12,32.1,0,13.8,233
2026-05-23,Saudi Arabia,Medina,42.8,6,40.2,1,7.9,348
2026-05-24,Saudi Arabia,Medina,42.2,8,40.3,1,5.5,319
2026-05-25,Saudi Arabia,Medina,38.8,10,34.0,0,19.9,286
2026-05-26,Saudi Arabia,Medina,37.2,10,32.4,0,18.8,300
2026-05-27,Saudi Arabia,Medina,38.0,10,32.9,0,20.7,315
2026-05-28,Saudi Arabia,Medina,35.7,15,32.1,0,16.7,317
2026-05-29,Saudi Arabia,Medina,35.2,14,31.3,0,16.5,299
2026-05-30,Saudi Arabia,Medina,42.0,8,37.3,0,21.5,230
2026-05-31,Saudi Arabia,Medina,39.8,7,34.4,0,20.5,241
