date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Singapore,Singapore,23.5,100,29.1,53,1.7,18
2026-05-17,Singapore,Singapore,27.0,88,33.5,3,0.8,27
2026-05-17,Singapore,Singapore,26.5,87,32.3,3,2.9,356
2026-05-17,Singapore,Singapore,26.5,87,32.6,3,0.8,27
2026-05-18,Singapore,Singapore,24.0,100,29.5,3,4.4,341
2026-05-19,Singapore,Singapore,24.6,100,30.9,3,1.1,9
2026-05-20,Singapore,Singapore,25.1,99,31.2,51,5.1,309
2026-05-21,Singapore,Singapore,25.9,93,32.0,3,2.1,211
2026-05-22,Singapore,Singapore,26.2,91,32.3,3,3.4,72
2026-05-23,Singapore,Singapore,26.9,92,33.7,2,1.2,309
2026-05-24,Singapore,Singapore,25.5,100,32.0,3,2.9,47
2026-05-25,Singapore,Singapore,25.8,96,32.1,3,4.1,88
2026-05-26,Singapore,Singapore,25.4,94,31.5,3,1.9,338
2026-05-27,Singapore,Singapore,26.5,92,33.2,0,0.9,79
2026-05-28,Singapore,Singapore,25.0,97,31.1,95,2.8,27
2026-05-29,Singapore,Singapore,24.8,100,31.0,2,2.3,18
2026-05-30,Singapore,Singapore,27.6,82,33.5,3,2.9,158
2026-05-31,Singapore,Singapore,26.8,90,33.1,3,2.9,101
2026-06-01,Singapore,Singapore,27.0,84,32.3,2,6.1,166
2026-06-02,Singapore,Singapore,27.0,88,32.7,3,5.5,163
2026-06-03,Singapore,Singapore,26.9,90,33.0,3,4.0,153
2026-06-04,Singapore,Singapore,27.4,87,33.3,1,5.1,153
2026-06-05,Singapore,Singapore,27.8,86,33.7,3,6.4,135
2026-06-06,Singapore,Singapore,28.6,82,34.3,3,7.5,160
2026-06-07,Singapore,Singapore,26.7,91,33.0,3,3.5,195
2026-06-08,Singapore,Singapore,25.4,96,31.4,80,3.3,144
2026-06-09,Singapore,Singapore,26.1,93,32.5,3,1.7,193
2026-06-10,Singapore,Singapore,26.1,95,31.9,3,7.7,141
2026-06-11,Singapore,Singapore,25.2,95,30.9,2,3.4,357
2026-06-12,Singapore,Singapore,24.6,100,30.7,2,2.1,340
2026-06-13,Singapore,Singapore,27.2,84,32.6,3,5.3,128
2026-06-14,Singapore,Singapore,25.2,99,31.0,3,6.5,309
2026-06-15,Singapore,Singapore,26.4,92,32.7,3,2.2,166
2026-06-16,Singapore,Singapore,27.0,85,32.5,2,4.7,152
2026-06-17,Singapore,Singapore,25.1,99,31.3,3,2.4,333
2026-06-18,Singapore,Singapore,27.9,80,33.8,3,1.5,60
2026-06-19,Singapore,Singapore,25.1,98,31.1,95,4.3,208
2026-06-20,Singapore,Singapore,27.9,83,33.8,3,3.3,202
2026-06-21,Singapore,Singapore,26.6,94,32.6,2,7.1,351
2026-06-22,Singapore,Singapore,25.4,93,31.3,3,2.0,90
2026-06-23,Singapore,Singapore,27.0,87,33.0,0,3.1,190
2026-06-24,Singapore,Singapore,23.9,99,28.6,80,8.0,301
2026-06-25,Singapore,Singapore,27.5,89,34.0,3,3.1,273
2026-06-26,Singapore,Singapore,28.1,77,33.1,0,5.6,149
2026-06-27,Singapore,Singapore,29.4,74,34.8,3,5.0,180
2026-06-29,Singapore,Singapore,28.1,77,33.1,1,5.9,358
2026-06-30,Singapore,Singapore,27.3,87,33.5,1,3.1,273
2026-07-01,Singapore,Singapore,27.6,84,33.5,0,4.1,139
2026-07-02,Singapore,Singapore,27.7,82,33.2,2,4.8,158
2026-07-03,Singapore,Singapore,27.9,79,32.8,3,7.4,119
2026-07-04,Singapore,Singapore,29.3,75,34.7,3,5.3,118
2026-07-05,Singapore,Singapore,28.1,82,34.5,51,0.6,124
2026-07-06,Singapore,Singapore,25.7,100,32.6,3,1.7,347
2026-07-07,Singapore,Singapore,27.9,77,32.8,2,5.5,171
2026-07-08,Singapore,Singapore,27.9,83,33.8,51,4.0,141
2026-07-09,Singapore,Singapore,25.8,96,32.1,53,3.1,220
2026-07-10,Singapore,Singapore,28.4,73,32.9,0,6.8,168
2026-07-11,Singapore,Singapore,29.7,66,33.4,51,11.1,205
2026-07-12,Singapore,Singapore,29.0,71,32.9,3,11.2,174
2026-07-13,Singapore,Singapore,28.3,73,32.9,2,6.3,145
2026-07-14,Singapore,Singapore,27.3,85,32.6,51,8.3,131
2026-07-15,Singapore,Singapore,26.6,94,33.1,80,3.8,135
2026-07-16,Singapore,Singapore,26.7,93,33.6,3,0.4,270
2026-07-17,Singapore,Singapore,27.8,82,33.0,2,7.1,146
2026-07-18,Singapore,Singapore,27.7,82,33.6,51,2.9,11
2026-07-19,Singapore,Singapore,30.9,58,34.8,0,6.4,155
2026-07-20,Singapore,Singapore,26.7,88,32.7,1,2.6,344
2026-07-21,Singapore,Singapore,28.2,77,33.3,3,5.4,150
