date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Africa,Cape Town,14.0,91,14.0,0,5.1,144
2026-05-17,South Africa,Cape Town,18.9,80,17.8,3,19.9,149
2026-05-17,South Africa,Cape Town,18.8,81,17.6,2,20.7,150
2026-05-17,South Africa,Cape Town,18.3,83,17.1,3,20.8,150
2026-05-18,South Africa,Cape Town,17.3,86,15.9,3,20.3,142
2026-05-19,South Africa,Cape Town,17.5,86,17.2,0,13.4,141
2026-05-20,South Africa,Cape Town,16.7,90,17.8,0,4.0,150
2026-05-21,South Africa,Cape Town,14.4,93,14.5,2,6.0,307
2026-05-22,South Africa,Cape Town,15.0,95,16.1,0,2.0,153
2026-05-23,South Africa,Cape Town,19.0,80,20.0,3,6.2,234
2026-05-24,South Africa,Cape Town,19.1,73,19.8,3,4.3,182
2026-05-25,South Africa,Cape Town,14.2,100,14.9,3,3.9,208
2026-05-26,South Africa,Cape Town,14.0,89,14.3,0,2.8,230
2026-05-27,South Africa,Cape Town,15.3,98,15.7,3,8.5,324
2026-05-28,South Africa,Cape Town,14.3,96,14.5,3,6.2,165
2026-05-29,South Africa,Cape Town,13.4,94,12.9,0,8.1,156
2026-05-30,South Africa,Cape Town,18.7,70,17.6,0,14.9,159
2026-05-31,South Africa,Cape Town,21.2,84,23.9,1,3.1,216
2026-06-01,South Africa,Cape Town,13.7,98,14.7,3,0.4,297
2026-06-02,South Africa,Cape Town,15.3,78,11.5,1,28.9,137
2026-06-03,South Africa,Cape Town,13.9,78,10.5,2,23.0,136
2026-06-04,South Africa,Cape Town,13.8,67,11.5,0,11.6,137
2026-06-05,South Africa,Cape Town,12.4,70,11.2,1,3.1,111
2026-06-06,South Africa,Cape Town,16.4,49,14.2,0,8.2,311
2026-06-07,South Africa,Cape Town,17.0,56,16.5,3,0.6,124
2026-06-08,South Africa,Cape Town,13.1,100,13.0,0,6.7,194
2026-06-09,South Africa,Cape Town,13.2,92,13.6,0,1.5,120
2026-06-10,South Africa,Cape Town,11.7,99,11.9,3,1.9,139
2026-06-11,South Africa,Cape Town,14.2,97,11.9,63,23.5,326
2026-06-12,South Africa,Cape Town,12.8,82,12.0,0,4.6,296
2026-06-13,South Africa,Cape Town,14.9,78,14.5,1,5.1,172
2026-06-14,South Africa,Cape Town,14.0,85,11.6,55,19.6,327
2026-06-15,South Africa,Cape Town,14.4,68,12.4,0,10.9,153
2026-06-16,South Africa,Cape Town,17.7,63,15.2,0,18.0,134
2026-06-17,South Africa,Cape Town,18.3,76,17.1,0,16.9,142
2026-06-18,South Africa,Cape Town,17.9,66,14.9,0,23.8,145
2026-06-19,South Africa,Cape Town,20.8,53,20.0,0,7.0,113
2026-06-20,South Africa,Cape Town,26.2,35,25.4,0,5.2,29
2026-06-21,South Africa,Cape Town,22.7,56,23.7,3,0.6,288
2026-06-22,South Africa,Cape Town,14.2,94,12.6,3,17.8,330
2026-06-23,South Africa,Cape Town,15.0,86,12.0,3,26.6,333
2026-06-24,South Africa,Cape Town,16.2,74,14.9,3,11.8,136
2026-06-25,South Africa,Cape Town,20.2,71,21.3,0,3.6,315
2026-06-26,South Africa,Cape Town,20.8,79,23.1,0,1.0,211
2026-06-27,South Africa,Cape Town,15.0,90,14.5,3,10.7,337
2026-06-29,South Africa,Cape Town,13.8,57,11.2,1,9.7,152
2026-06-30,South Africa,Cape Town,15.3,51,13.4,0,5.4,206
2026-07-01,South Africa,Cape Town,14.7,61,12.1,1,12.5,196
2026-07-02,South Africa,Cape Town,14.5,71,10.9,51,23.0,337
2026-07-03,South Africa,Cape Town,14.6,64,11.1,2,20.0,332
2026-07-04,South Africa,Cape Town,15.6,59,12.4,1,17.0,339
2026-07-05,South Africa,Cape Town,16.3,80,16.0,3,8.5,343
2026-07-06,South Africa,Cape Town,17.5,85,18.3,1,5.2,241
2026-07-07,South Africa,Cape Town,17.2,87,18.1,1,5.8,309
2026-07-08,South Africa,Cape Town,16.7,85,17.5,3,4.0,207
2026-07-09,South Africa,Cape Town,15.1,61,11.3,1,22.5,145
2026-07-10,South Africa,Cape Town,16.1,68,13.2,3,20.0,138
2026-07-11,South Africa,Cape Town,17.0,65,16.4,0,4.9,123
2026-07-12,South Africa,Cape Town,18.1,64,18.1,0,1.9,22
2026-07-13,South Africa,Cape Town,14.1,86,13.8,1,5.9,317
2026-07-14,South Africa,Cape Town,13.3,86,12.2,3,9.8,353
2026-07-15,South Africa,Cape Town,15.9,83,15.4,3,9.9,333
2026-07-16,South Africa,Cape Town,16.9,78,17.1,2,4.7,261
2026-07-17,South Africa,Cape Town,17.3,85,18.2,3,4.7,173
2026-07-18,South Africa,Cape Town,14.3,94,14.2,3,7.8,345
2026-07-19,South Africa,Cape Town,13.8,95,12.2,61,17.4,330
2026-07-20,South Africa,Cape Town,15.4,78,14.0,1,12.7,329
2026-07-21,South Africa,Cape Town,14.8,83,14.8,0,4.0,302
2026-07-22,South Africa,Cape Town,14.5,78,12.6,3,14.8,334
