date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Africa,Durban,17.0,90,17.4,0,9.2,287
2026-05-17,South Africa,Durban,22.6,66,22.3,0,16.1,53
2026-05-17,South Africa,Durban,22.4,69,22.2,0,16.5,52
2026-05-17,South Africa,Durban,21.8,75,22.2,0,14.5,47
2026-05-18,South Africa,Durban,18.7,85,19.7,3,7.7,240
2026-05-19,South Africa,Durban,19.3,87,20.8,1,7.0,244
2026-05-20,South Africa,Durban,19.0,86,20.4,0,5.6,297
2026-05-21,South Africa,Durban,21.0,80,21.2,1,16.2,24
2026-05-22,South Africa,Durban,20.5,64,20.3,0,8.5,272
2026-05-23,South Africa,Durban,23.5,68,24.3,51,12.1,173
2026-05-24,South Africa,Durban,22.0,72,23.0,0,8.5,142
