date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Africa,Port Elizabeth,16.2,92,15.9,0,13.3,71
2026-05-17,South Africa,Port Elizabeth,25.2,50,26.2,0,2.0,175
2026-05-17,South Africa,Port Elizabeth,24.5,50,24.7,0,6.5,182
2026-05-17,South Africa,Port Elizabeth,20.6,65,20.0,0,12.0,212
2026-05-18,South Africa,Port Elizabeth,17.8,89,18.5,3,9.2,113
2026-05-19,South Africa,Port Elizabeth,17.5,86,16.0,51,22.2,94
2026-05-20,South Africa,Port Elizabeth,19.0,88,18.7,0,19.5,73
2026-05-21,South Africa,Port Elizabeth,18.0,85,18.7,2,8.4,121
2026-05-22,South Africa,Port Elizabeth,16.6,84,15.2,3,18.1,245
2026-05-23,South Africa,Port Elizabeth,19.7,65,19.4,0,9.0,200
2026-05-24,South Africa,Port Elizabeth,20.8,71,21.9,1,4.3,163
2026-05-25,South Africa,Port Elizabeth,16.4,92,17.9,0,1.3,286
2026-05-26,South Africa,Port Elizabeth,15.7,88,15.4,0,10.8,252
2026-05-27,South Africa,Port Elizabeth,14.9,92,15.9,1,1.5,225
2026-05-28,South Africa,Port Elizabeth,15.4,87,15.2,0,7.6,262
2026-05-29,South Africa,Port Elizabeth,16.8,81,15.9,3,13.5,74
2026-05-30,South Africa,Port Elizabeth,20.6,69,21.5,0,4.8,119
2026-05-31,South Africa,Port Elizabeth,22.5,72,24.5,0,4.6,18
2026-06-01,South Africa,Port Elizabeth,17.4,71,17.0,1,7.5,224
2026-06-02,South Africa,Port Elizabeth,16.0,93,15.5,2,14.7,248
2026-06-03,South Africa,Port Elizabeth,14.1,87,11.9,63,19.8,131
2026-06-04,South Africa,Port Elizabeth,13.7,88,12.4,51,12.8,255
2026-06-05,South Africa,Port Elizabeth,13.1,70,9.7,0,18.7,268
2026-06-06,South Africa,Port Elizabeth,16.7,55,14.9,1,7.7,342
2026-06-07,South Africa,Port Elizabeth,16.9,76,17.5,3,1.3,82
2026-06-08,South Africa,Port Elizabeth,15.6,83,15.0,3,9.5,255
2026-06-09,South Africa,Port Elizabeth,14.1,94,14.6,0,3.4,264
2026-06-10,South Africa,Port Elizabeth,14.4,79,13.8,0,5.6,339
2026-06-11,South Africa,Port Elizabeth,14.9,96,15.6,0,4.2,295
2026-06-12,South Africa,Port Elizabeth,14.1,60,10.2,0,20.5,270
2026-06-13,South Africa,Port Elizabeth,12.4,94,11.6,51,8.2,57
2026-06-14,South Africa,Port Elizabeth,16.5,70,15.8,0,7.5,15
2026-06-15,South Africa,Port Elizabeth,14.8,76,12.7,2,15.7,259
2026-06-16,South Africa,Port Elizabeth,17.1,75,16.7,1,8.0,124
2026-06-17,South Africa,Port Elizabeth,17.4,75,17.3,0,7.2,58
2026-06-18,South Africa,Port Elizabeth,18.1,77,17.1,3,15.9,239
2026-06-19,South Africa,Port Elizabeth,17.3,63,16.1,0,8.2,67
2026-06-20,South Africa,Port Elizabeth,19.8,64,19.3,2,9.8,24
2026-06-21,South Africa,Port Elizabeth,25.0,53,25.9,0,3.9,294
2026-06-22,South Africa,Port Elizabeth,22.2,68,23.1,1,7.7,1
2026-06-23,South Africa,Port Elizabeth,19.6,77,19.3,0,15.3,222
2026-06-24,South Africa,Port Elizabeth,17.8,73,17.5,51,8.0,208
2026-06-25,South Africa,Port Elizabeth,18.2,78,18.7,3,5.8,7
2026-06-26,South Africa,Port Elizabeth,22.5,70,23.6,2,8.7,346
2026-06-27,South Africa,Port Elizabeth,24.2,52,23.0,0,16.3,343
2026-06-29,South Africa,Port Elizabeth,14.3,61,10.0,0,24.0,251
2026-06-30,South Africa,Port Elizabeth,15.2,72,13.8,0,9.7,87
2026-07-01,South Africa,Port Elizabeth,17.6,69,16.6,1,10.3,187
2026-07-02,South Africa,Port Elizabeth,15.0,57,9.5,0,31.6,264
2026-07-03,South Africa,Port Elizabeth,18.0,57,16.7,3,7.5,350
2026-07-04,South Africa,Port Elizabeth,18.7,50,17.5,0,5.0,345
