date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Korea,Busan,16.4,86,17.0,0,4.7,274
2026-05-17,South Korea,Busan,20.6,75,22.1,0,3.6,270
2026-05-17,South Korea,Busan,20.0,70,20.9,0,4.0,297
2026-05-17,South Korea,Busan,19.2,66,19.3,0,5.4,323
2026-05-18,South Korea,Busan,17.8,61,17.0,1,5.6,320
2026-05-19,South Korea,Busan,18.7,89,20.0,63,7.6,59
2026-05-20,South Korea,Busan,16.8,97,18.2,53,5.1,82
2026-05-21,South Korea,Busan,17.6,85,18.0,1,8.9,27
2026-05-22,South Korea,Busan,16.8,89,17.0,2,10.0,52
2026-05-23,South Korea,Busan,17.2,86,17.5,2,8.4,47
2026-05-24,South Korea,Busan,18.4,94,20.1,3,6.2,69
2026-05-25,South Korea,Busan,19.7,89,21.8,2,5.0,60
2026-05-26,South Korea,Busan,19.5,98,21.5,51,10.4,76
2026-05-27,South Korea,Busan,18.5,94,20.4,3,5.0,339
2026-05-28,South Korea,Busan,18.9,84,19.6,0,9.2,318
2026-05-29,South Korea,Busan,16.4,90,17.0,0,6.6,299
2026-05-30,South Korea,Busan,22.3,62,23.4,0,2.9,263
2026-05-31,South Korea,Busan,19.6,79,21.2,1,2.7,293
2026-06-01,South Korea,Busan,20.7,99,24.1,63,4.6,129
2026-06-02,South Korea,Busan,17.4,95,19.0,0,4.5,331
2026-06-03,South Korea,Busan,20.2,99,23.3,2,5.1,98
2026-06-04,South Korea,Busan,19.4,99,22.1,2,5.2,282
2026-06-05,South Korea,Busan,17.2,72,16.9,0,6.6,331
2026-06-06,South Korea,Busan,20.4,78,21.0,2,11.6,60
2026-06-07,South Korea,Busan,19.6,90,21.8,3,4.0,10
2026-06-08,South Korea,Busan,18.3,89,19.5,1,7.3,20
2026-06-09,South Korea,Busan,18.0,89,19.6,0,3.4,302
2026-06-10,South Korea,Busan,18.1,74,18.3,0,6.4,308
2026-06-11,South Korea,Busan,17.8,79,17.9,0,8.4,313
2026-06-12,South Korea,Busan,19.3,77,20.3,1,5.1,315
2026-06-13,South Korea,Busan,19.8,92,22.3,1,4.4,305
2026-06-14,South Korea,Busan,21.5,89,24.4,0,4.9,107
2026-06-15,South Korea,Busan,20.1,92,22.3,2,7.8,56
2026-06-16,South Korea,Busan,21.8,84,24.0,1,8.4,70
2026-06-17,South Korea,Busan,22.1,92,26.2,1,1.4,180
