date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Korea,Daegu,17.6,81,18.1,0,6.4,223
2026-05-17,South Korea,Daegu,23.5,68,25.7,1,2.6,74
2026-05-17,South Korea,Daegu,22.2,75,24.4,2,3.5,66
2026-05-17,South Korea,Daegu,20.8,70,22.0,1,3.1,111
2026-05-18,South Korea,Daegu,17.3,79,18.1,1,2.4,27
2026-05-19,South Korea,Daegu,17.3,79,17.5,51,6.7,106
2026-05-20,South Korea,Daegu,15.8,96,16.6,2,5.9,104
2026-05-21,South Korea,Daegu,16.9,86,18.0,3,2.4,117
2026-05-22,South Korea,Daegu,15.1,92,15.7,2,4.2,110
2026-05-23,South Korea,Daegu,16.3,88,16.7,1,7.0,102
2026-05-24,South Korea,Daegu,20.7,84,22.6,2,6.5,96
2026-05-25,South Korea,Daegu,19.8,93,22.4,2,4.6,108
2026-05-26,South Korea,Daegu,18.9,96,20.6,55,9.0,85
2026-05-27,South Korea,Daegu,17.5,94,19.4,2,2.9,150
2026-05-28,South Korea,Daegu,17.9,88,18.8,0,7.5,287
2026-05-29,South Korea,Daegu,17.2,62,16.2,0,6.3,239
2026-05-30,South Korea,Daegu,23.0,56,23.5,0,4.8,228
2026-05-31,South Korea,Daegu,20.5,65,21.2,0,3.7,119
2026-06-01,South Korea,Daegu,19.5,93,22.3,3,2.1,59
2026-06-02,South Korea,Daegu,17.0,93,18.2,0,5.7,235
