date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Korea,Daejeon,13.5,98,13.9,0,3.6,180
2026-05-17,South Korea,Daejeon,20.5,79,22.3,0,3.7,331
2026-05-17,South Korea,Daejeon,20.2,78,21.8,0,3.1,216
2026-05-17,South Korea,Daejeon,17.5,89,18.5,0,6.6,229
2026-05-18,South Korea,Daejeon,15.9,72,15.8,0,2.4,207
2026-05-19,South Korea,Daejeon,17.6,88,18.3,51,8.4,110
2026-05-20,South Korea,Daejeon,15.5,94,16.1,51,6.3,103
2026-05-21,South Korea,Daejeon,15.6,90,15.8,1,7.1,45
2026-05-22,South Korea,Daejeon,15.0,85,14.6,1,7.6,95
2026-05-23,South Korea,Daejeon,18.4,85,19.1,1,8.6,88
2026-05-24,South Korea,Daejeon,21.9,80,24.2,1,4.3,204
2026-05-25,South Korea,Daejeon,21.2,92,24.4,1,3.4,238
2026-05-26,South Korea,Daejeon,19.8,91,20.6,2,15.2,95
2026-05-27,South Korea,Daejeon,18.8,94,21.1,51,3.3,131
2026-05-28,South Korea,Daejeon,16.6,97,17.8,2,6.2,263
2026-05-29,South Korea,Daejeon,12.6,89,11.7,0,8.1,193
2026-05-30,South Korea,Daejeon,19.3,81,20.1,0,7.8,202
2026-05-31,South Korea,Daejeon,19.3,63,18.8,0,7.5,215
2026-06-01,South Korea,Daejeon,18.3,86,19.8,2,3.6,6
2026-06-02,South Korea,Daejeon,16.6,98,17.7,1,7.4,194
2026-06-03,South Korea,Daejeon,19.5,93,22.2,1,2.6,74
2026-06-04,South Korea,Daejeon,19.2,96,21.1,2,8.2,241
2026-06-05,South Korea,Daejeon,12.9,86,12.2,0,5.8,202
2026-06-06,South Korea,Daejeon,20.8,62,19.4,1,16.6,108
2026-06-07,South Korea,Daejeon,19.0,93,21.1,53,4.9,73
2026-06-08,South Korea,Daejeon,14.4,92,14.5,1,6.1,208
2026-06-09,South Korea,Daejeon,16.0,85,16.7,1,3.1,216
2026-06-10,South Korea,Daejeon,16.5,97,18.1,2,3.0,194
2026-06-11,South Korea,Daejeon,14.6,98,15.0,0,6.1,183
2026-06-12,South Korea,Daejeon,15.5,99,16.5,2,5.2,192
2026-06-13,South Korea,Daejeon,21.2,91,24.1,2,5.6,140
2026-06-14,South Korea,Daejeon,22.7,82,25.2,65,7.4,293
2026-06-15,South Korea,Daejeon,22.3,85,25.3,2,4.6,129
2026-06-16,South Korea,Daejeon,23.4,79,25.4,0,10.9,117
2026-06-17,South Korea,Daejeon,22.1,88,25.5,1,2.5,135
2026-06-18,South Korea,Daejeon,23.4,86,27.1,2,4.4,351
2026-06-19,South Korea,Daejeon,23.2,92,26.2,63,12.3,87
2026-06-20,South Korea,Daejeon,20.9,86,21.1,3,20.0,252
2026-06-21,South Korea,Daejeon,23.5,81,26.5,2,5.6,320
2026-06-22,South Korea,Daejeon,20.1,86,21.4,3,9.6,103
2026-06-23,South Korea,Daejeon,20.9,76,21.0,1,14.8,84
2026-06-24,South Korea,Daejeon,20.4,77,21.0,1,10.2,82
2026-06-25,South Korea,Daejeon,21.9,90,25.4,1,2.9,7
2026-06-26,South Korea,Daejeon,22.6,77,24.5,2,7.3,351
2026-06-27,South Korea,Daejeon,25.2,70,27.9,0,5.8,150
2026-06-29,South Korea,Daejeon,23.5,89,27.0,2,8.2,232
2026-06-30,South Korea,Daejeon,24.7,88,28.7,55,7.8,257
2026-07-01,South Korea,Daejeon,21.6,83,23.8,1,6.5,93
2026-07-02,South Korea,Daejeon,23.2,88,26.8,1,5.4,233
2026-07-03,South Korea,Daejeon,24.0,87,28.3,2,3.0,256
2026-07-04,South Korea,Daejeon,25.1,84,29.0,2,7.6,239
2026-07-05,South Korea,Daejeon,25.0,96,30.6,53,4.7,189
2026-07-06,South Korea,Daejeon,25.1,94,30.6,2,4.4,189
2026-07-07,South Korea,Daejeon,27.8,89,34.3,3,5.1,188
2026-07-08,South Korea,Daejeon,25.7,95,31.0,55,8.9,201
2026-07-09,South Korea,Daejeon,24.9,89,29.8,1,3.6,143
2026-07-10,South Korea,Daejeon,26.3,95,32.7,2,4.5,194
2026-07-11,South Korea,Daejeon,31.7,71,38.5,2,3.1,45
2026-07-12,South Korea,Daejeon,29.9,73,34.5,0,12.4,216
2026-07-13,South Korea,Daejeon,27.7,81,32.6,0,8.6,202
2026-07-14,South Korea,Daejeon,27.9,80,31.0,3,21.2,198
2026-07-15,South Korea,Daejeon,25.3,81,29.2,1,6.4,254
2026-07-16,South Korea,Daejeon,25.2,91,30.5,3,3.4,238
2026-07-17,South Korea,Daejeon,27.2,88,33.8,3,0.4,360
2026-07-18,South Korea,Daejeon,26.1,94,31.6,3,8.4,230
2026-07-19,South Korea,Daejeon,26.5,78,30.6,1,6.7,254
2026-07-20,South Korea,Daejeon,26.8,95,33.4,1,5.2,192
2026-07-21,South Korea,Daejeon,27.1,91,33.3,1,5.5,212
2026-07-22,South Korea,Daejeon,27.4,87,33.2,1,6.1,242
2026-07-23,South Korea,Daejeon,27.2,86,32.0,1,11.4,242
2026-07-24,South Korea,Daejeon,28.5,80,33.8,1,8.6,268
