date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Korea,Incheon,12.1,99,12.2,3,3.6,233
2026-05-17,South Korea,Incheon,14.6,91,14.8,0,5.2,245
2026-05-17,South Korea,Incheon,14.2,93,14.3,0,6.1,242
2026-05-17,South Korea,Incheon,12.5,98,12.3,2,6.1,242
2026-05-18,South Korea,Incheon,13.1,99,13.7,2,2.3,219
2026-05-19,South Korea,Incheon,15.8,85,15.1,51,12.4,98
2026-05-20,South Korea,Incheon,15.2,93,14.0,51,17.5,98
2026-05-21,South Korea,Incheon,14.5,82,13.6,1,9.4,40
2026-05-22,South Korea,Incheon,15.1,78,13.8,2,11.6,116
2026-05-23,South Korea,Incheon,17.5,84,18.2,1,6.3,347
2026-05-24,South Korea,Incheon,17.9,84,18.7,0,6.8,335
