date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Korea,Seoul,11.9,98,11.9,2,3.6,270
2026-05-17,South Korea,Seoul,18.7,68,19.2,1,2.5,270
2026-05-17,South Korea,Seoul,17.8,75,18.4,0,2.9,270
2026-05-17,South Korea,Seoul,16.1,82,16.6,0,3.3,276
2026-05-18,South Korea,Seoul,17.2,71,17.5,1,2.0,315
2026-05-19,South Korea,Seoul,16.1,82,16.4,51,5.1,82
2026-05-20,South Korea,Seoul,15.2,93,15.5,61,7.3,81
2026-05-21,South Korea,Seoul,15.0,76,14.6,2,4.8,48
2026-05-22,South Korea,Seoul,15.5,72,15.0,2,5.1,98
2026-05-23,South Korea,Seoul,19.0,73,19.9,1,2.6,16
