date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Spain,Barcelona,15.9,71,15.1,2,7.1,120
2026-05-17,Spain,Barcelona,18.6,65,18.7,2,10.9,117
2026-05-17,Spain,Barcelona,18.9,63,19.3,3,10.4,136
2026-05-17,Spain,Barcelona,18.9,62,18.4,3,9.2,159
2026-05-18,Spain,Barcelona,18.4,74,18.6,2,6.6,193
2026-05-19,Spain,Barcelona,19.8,83,21.2,2,6.9,174
2026-05-20,Spain,Barcelona,21.2,65,22.0,2,3.8,131
2026-05-21,Spain,Barcelona,22.7,55,22.7,0,6.8,183
2026-05-22,Spain,Barcelona,23.4,59,24.0,0,7.4,113
2026-05-23,Spain,Barcelona,25.1,56,27.7,0,10.8,150
2026-05-24,Spain,Barcelona,27.2,44,29.3,0,10.1,145
2026-05-25,Spain,Barcelona,24.7,58,25.5,0,8.1,111
2026-05-26,Spain,Barcelona,25.0,57,26.0,0,6.5,186
2026-05-27,Spain,Barcelona,26.2,48,26.3,0,8.6,202
2026-05-28,Spain,Barcelona,27.4,42,27.7,0,5.8,180
2026-05-29,Spain,Barcelona,23.6,71,25.7,0,5.4,90
2026-05-30,Spain,Barcelona,26.3,59,29.7,1,9.8,118
2026-05-31,Spain,Barcelona,26.1,56,27.3,3,12.7,173
2026-06-01,Spain,Barcelona,22.0,88,25.6,1,1.5,256
2026-06-02,Spain,Barcelona,22.1,71,23.8,2,4.1,142
2026-06-03,Spain,Barcelona,22.2,78,24.4,2,5.1,219
2026-06-04,Spain,Barcelona,23.1,83,25.0,80,13.6,212
2026-06-05,Spain,Barcelona,20.6,67,20.2,3,12.7,188
2026-06-06,Spain,Barcelona,25.4,61,27.0,3,15.1,198
2026-06-07,Spain,Barcelona,25.1,51,25.3,0,13.7,182
2026-06-08,Spain,Barcelona,24.0,64,25.5,0,5.8,158
2026-06-09,Spain,Barcelona,22.8,73,23.9,2,10.9,153
2026-06-10,Spain,Barcelona,20.7,62,20.7,1,6.9,137
2026-06-11,Spain,Barcelona,21.3,54,21.5,1,2.2,171
2026-06-12,Spain,Barcelona,24.6,63,25.9,0,8.6,195
2026-06-13,Spain,Barcelona,28.5,37,27.8,2,14.6,196
2026-06-14,Spain,Barcelona,28.7,34,29.5,2,10.7,130
2026-06-15,Spain,Barcelona,27.6,34,26.9,0,12.7,173
2026-06-16,Spain,Barcelona,28.9,34,29.4,0,13.2,137
2026-06-17,Spain,Barcelona,29.0,42,31.1,0,11.5,148
2026-06-18,Spain,Barcelona,26.4,62,29.7,3,13.6,101
2026-06-19,Spain,Barcelona,28.8,50,31.6,1,12.8,101
2026-06-20,Spain,Barcelona,29.2,49,32.1,3,11.6,95
2026-06-21,Spain,Barcelona,31.8,36,34.0,0,10.5,131
2026-06-22,Spain,Barcelona,33.4,28,33.4,2,14.7,191
2026-06-23,Spain,Barcelona,30.3,57,35.2,0,10.9,124
2026-06-24,Spain,Barcelona,31.4,45,34.8,0,11.2,159
2026-06-25,Spain,Barcelona,30.9,45,34.0,0,12.2,178
2026-06-26,Spain,Barcelona,31.9,34,33.6,0,12.1,190
2026-06-27,Spain,Barcelona,31.7,41,34.5,0,10.4,178
2026-06-29,Spain,Barcelona,33.3,39,35.5,0,15.8,204
2026-06-30,Spain,Barcelona,31.6,49,35.0,0,14.0,181
2026-07-01,Spain,Barcelona,28.4,56,30.9,2,16.3,131
2026-07-02,Spain,Barcelona,30.6,32,31.6,0,12.4,163
2026-07-03,Spain,Barcelona,30.1,47,32.7,0,14.7,169
