date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Spain,Bilbao,15.4,66,14.1,1,7.1,330
2026-05-17,Spain,Bilbao,17.1,64,15.8,3,12.9,333
2026-05-17,Spain,Bilbao,16.4,69,15.6,3,13.1,328
2026-05-17,Spain,Bilbao,17.1,64,14.9,3,14.3,332
2026-05-18,Spain,Bilbao,19.0,56,18.4,3,6.5,341
2026-05-19,Spain,Bilbao,21.6,54,21.1,0,8.3,5
2026-05-20,Spain,Bilbao,22.0,59,22.3,0,8.5,62
2026-05-21,Spain,Bilbao,31.8,47,34.2,3,5.5,349
2026-05-22,Spain,Bilbao,34.8,33,35.6,3,9.8,66
2026-05-23,Spain,Bilbao,27.3,46,28.2,3,7.5,343
2026-05-24,Spain,Bilbao,30.4,45,31.8,0,8.7,336
2026-05-25,Spain,Bilbao,35.6,15,32.9,3,14.0,136
2026-05-26,Spain,Bilbao,35.6,14,29.0,0,1.8,270
2026-05-27,Spain,Bilbao,31.9,39,33.8,0,4.7,356
2026-05-28,Spain,Bilbao,25.6,63,26.1,0,9.4,342
2026-05-29,Spain,Bilbao,20.1,79,21.4,3,10.6,336
2026-05-30,Spain,Bilbao,21.4,69,21.8,3,13.7,330
2026-05-31,Spain,Bilbao,22.6,52,21.7,3,9.8,332
2026-06-01,Spain,Bilbao,19.2,77,20.3,3,1.8,37
2026-06-02,Spain,Bilbao,18.3,64,17.3,3,8.3,304
2026-06-03,Spain,Bilbao,20.4,66,20.8,3,5.0,360
2026-06-04,Spain,Bilbao,17.4,68,16.0,3,12.2,298
2026-06-05,Spain,Bilbao,21.1,55,20.1,3,8.4,80
2026-06-06,Spain,Bilbao,19.0,65,18.4,3,11.6,330
