date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Spain,Madrid,18.9,34,16.2,3,6.9,208
2026-05-17,Spain,Madrid,20.3,33,20.3,3,2.6,164
2026-05-17,Spain,Madrid,21.0,31,21.0,3,0.8,243
2026-05-17,Spain,Madrid,21.5,28,19.2,3,7.2,270
2026-05-18,Spain,Madrid,21.9,27,18.3,3,12.7,235
2026-05-19,Spain,Madrid,25.3,29,23.1,0,7.6,251
2026-05-20,Spain,Madrid,28.5,23,26.7,0,4.6,162
2026-05-21,Spain,Madrid,30.1,18,27.5,1,7.0,159
2026-05-22,Spain,Madrid,31.4,15,27.8,1,11.9,145
2026-05-23,Spain,Madrid,29.1,19,29.0,0,8.2,105
2026-05-24,Spain,Madrid,29.1,18,28.7,0,8.2,105
2026-05-25,Spain,Madrid,31.0,13,27.2,1,10.7,138
2026-05-26,Spain,Madrid,31.1,16,28.7,0,4.5,166
2026-05-27,Spain,Madrid,32.9,16,29.8,3,10.7,42
2026-05-28,Spain,Madrid,32.1,17,29.9,0,5.1,356
2026-05-29,Spain,Madrid,32.9,14,30.5,0,4.1,225
2026-05-30,Spain,Madrid,34.0,16,32.4,3,11.7,227
2026-05-31,Spain,Madrid,33.8,11,30.5,3,15.6,236
