date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Spain,Seville,22.2,47,20.2,2,14.1,238
2026-05-17,Spain,Seville,25.4,31,24.6,3,14.3,236
2026-05-17,Spain,Seville,25.8,29,24.5,3,15.3,243
2026-05-17,Spain,Seville,25.8,27,23.4,3,17.0,253
2026-05-18,Spain,Seville,24.2,30,21.0,3,13.9,249
2026-05-19,Spain,Seville,28.7,24,26.7,0,7.3,279
2026-05-20,Spain,Seville,32.6,24,31.1,0,9.2,219
2026-05-21,Spain,Seville,34.2,20,32.0,1,11.0,251
2026-05-22,Spain,Seville,35.4,17,32.8,0,11.8,232
2026-05-23,Spain,Seville,33.4,17,34.7,1,1.8,180
2026-05-24,Spain,Seville,31.6,19,29.9,3,6.8,245
2026-05-25,Spain,Seville,33.8,23,33.0,1,4.6,219
2026-05-26,Spain,Seville,34.0,24,33.0,0,8.2,229
2026-05-27,Spain,Seville,33.9,21,32.7,0,5.8,202
2026-05-28,Spain,Seville,27.9,41,27.0,0,13.5,245
2026-05-29,Spain,Seville,31.5,33,30.7,0,12.4,248
2026-05-30,Spain,Seville,33.9,32,36.9,0,7.9,231
2026-05-31,Spain,Seville,38.0,15,38.0,0,6.8,267
2026-06-01,Spain,Seville,24.6,61,25.7,0,8.0,198
2026-06-02,Spain,Seville,27.4,30,25.4,0,10.7,310
2026-06-03,Spain,Seville,24.5,50,24.0,0,10.8,210
2026-06-04,Spain,Seville,32.2,22,29.6,0,13.8,303
2026-06-05,Spain,Seville,31.1,23,28.5,0,13.7,210
2026-06-06,Spain,Seville,29.6,23,28.9,3,4.4,279
2026-06-07,Spain,Seville,34.3,29,35.5,0,9.7,243
2026-06-08,Spain,Seville,33.2,21,30.6,0,14.0,235
2026-06-09,Spain,Seville,34.1,30,33.3,1,14.5,235
2026-06-10,Spain,Seville,31.9,34,31.3,0,13.3,229
2026-06-11,Spain,Seville,31.4,51,33.5,0,12.5,226
2026-06-12,Spain,Seville,35.6,18,33.5,3,10.0,131
2026-06-13,Spain,Seville,34.3,23,34.0,1,11.0,221
2026-06-14,Spain,Seville,26.7,58,28.6,2,15.3,219
2026-06-15,Spain,Seville,32.2,41,34.9,3,7.6,273
2026-06-16,Spain,Seville,32.9,40,37.4,0,5.3,242
2026-06-17,Spain,Seville,35.1,29,39.4,0,0.8,27
2026-06-18,Spain,Seville,33.5,35,36.6,0,7.2,243
2026-06-19,Spain,Seville,33.2,35,35.0,3,10.6,215
2026-06-20,Spain,Seville,32.5,42,37.3,0,2.3,252
2026-06-21,Spain,Seville,33.3,43,37.6,0,9.3,242
2026-06-22,Spain,Seville,34.9,39,38.4,2,9.7,228
2026-06-23,Spain,Seville,32.1,39,34.3,3,10.8,240
2026-06-24,Spain,Seville,31.2,42,34.8,3,3.9,202
2026-06-25,Spain,Seville,27.2,46,28.0,2,11.6,234
2026-06-26,Spain,Seville,28.7,47,32.8,1,3.9,248
2026-06-27,Spain,Seville,29.2,50,33.3,0,5.0,201
2026-06-29,Spain,Seville,36.4,22,39.2,0,3.3,257
2026-06-30,Spain,Seville,34.1,37,38.2,0,6.4,223
2026-07-01,Spain,Seville,36.7,27,40.0,0,4.9,234
2026-07-02,Spain,Seville,36.3,27,39.7,1,2.9,210
2026-07-03,Spain,Seville,35.9,32,40.4,0,1.3,56
2026-07-04,Spain,Seville,36.4,20,36.4,0,13.1,81
2026-07-05,Spain,Seville,34.9,24,36.8,1,4.7,58
2026-07-06,Spain,Seville,37.7,21,40.3,0,4.6,225
2026-07-07,Spain,Seville,37.2,20,39.9,1,1.1,360
2026-07-08,Spain,Seville,34.9,20,36.0,2,4.6,231
2026-07-09,Spain,Seville,31.1,55,35.9,1,12.0,213
2026-07-10,Spain,Seville,27.6,52,30.7,1,10.6,208
2026-07-11,Spain,Seville,25.7,52,26.3,2,11.6,202
2026-07-12,Spain,Seville,26.4,50,29.0,3,4.9,234
2026-07-13,Spain,Seville,30.2,40,34.5,0,1.5,225
2026-07-14,Spain,Seville,28.6,46,31.2,2,7.8,202
2026-07-15,Spain,Seville,28.2,44,31.3,2,1.5,14
2026-07-16,Spain,Seville,30.5,47,34.4,0,6.6,189
2026-07-17,Spain,Seville,31.2,37,34.8,0,0.4,90
2026-07-18,Spain,Seville,28.3,43,29.7,3,1.8,37
2026-07-19,Spain,Seville,29.0,44,32.4,2,0.5,225
2026-07-20,Spain,Seville,31.0,42,34.5,2,3.7,209
2026-07-21,Spain,Seville,30.9,38,34.0,2,1.1,18
2026-07-22,Spain,Seville,31.5,41,34.9,2,3.6,174
2026-07-23,Spain,Seville,32.2,34,33.6,3,8.0,85
