date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Spain,Valencia,18.2,45,15.5,1,12.2,137
2026-05-17,Spain,Valencia,22.2,51,22.7,3,13.0,114
2026-05-17,Spain,Valencia,22.3,48,22.6,3,12.4,116
2026-05-17,Spain,Valencia,22.4,51,22.5,3,13.0,124
2026-05-18,Spain,Valencia,21.3,64,21.3,3,9.4,67
2026-05-19,Spain,Valencia,25.1,40,23.7,1,10.4,124
2026-05-20,Spain,Valencia,21.1,71,21.4,2,11.0,58
2026-05-21,Spain,Valencia,24.3,47,24.0,0,7.0,102
2026-05-22,Spain,Valencia,25.5,48,25.3,0,10.0,116
2026-05-23,Spain,Valencia,28.6,30,29.1,1,11.8,121
2026-05-24,Spain,Valencia,28.2,35,29.4,1,11.0,109
2026-05-25,Spain,Valencia,24.5,67,26.0,0,9.7,90
2026-05-26,Spain,Valencia,24.7,53,25.3,0,6.3,114
2026-05-27,Spain,Valencia,25.1,51,25.4,0,8.0,95
2026-05-28,Spain,Valencia,25.9,42,25.8,0,5.2,106
2026-05-29,Spain,Valencia,29.0,39,29.1,1,7.1,75
2026-05-30,Spain,Valencia,27.5,61,30.3,1,16.1,80
2026-05-31,Spain,Valencia,27.3,56,28.9,3,13.0,109
2026-06-01,Spain,Valencia,22.5,83,25.6,3,3.5,24
2026-06-02,Spain,Valencia,24.5,72,27.4,3,4.1,52
2026-06-03,Spain,Valencia,22.6,80,24.7,1,8.5,54
2026-06-04,Spain,Valencia,26.1,68,26.7,1,21.4,48
2026-06-05,Spain,Valencia,21.6,70,22.1,3,10.4,88
2026-06-06,Spain,Valencia,26.2,58,28.4,3,14.8,116
2026-06-07,Spain,Valencia,25.9,50,26.7,0,11.3,97
2026-06-08,Spain,Valencia,24.1,73,25.9,1,10.2,72
2026-06-09,Spain,Valencia,23.9,70,25.0,2,13.0,71
2026-06-10,Spain,Valencia,22.0,74,22.9,2,10.9,99
2026-06-11,Spain,Valencia,22.5,66,23.2,0,8.9,122
2026-06-12,Spain,Valencia,25.3,49,25.0,0,10.5,131
2026-06-13,Spain,Valencia,30.1,25,28.5,3,11.3,117
2026-06-14,Spain,Valencia,30.4,31,31.3,0,11.8,121
2026-06-15,Spain,Valencia,28.4,47,29.8,1,13.0,96
2026-06-16,Spain,Valencia,29.6,38,31.0,0,12.9,108
2026-06-17,Spain,Valencia,31.8,33,33.4,0,12.4,116
2026-06-18,Spain,Valencia,28.5,54,32.1,1,9.0,67
2026-06-19,Spain,Valencia,28.8,57,32.3,0,14.5,76
2026-06-20,Spain,Valencia,28.9,59,32.0,1,18.2,60
2026-06-21,Spain,Valencia,31.1,42,33.8,1,12.6,77
2026-06-22,Spain,Valencia,33.3,30,34.5,1,10.8,111
2026-06-23,Spain,Valencia,33.2,29,34.5,0,12.2,114
2026-06-24,Spain,Valencia,32.6,31,34.2,0,11.8,110
2026-06-25,Spain,Valencia,31.6,37,33.5,2,13.2,107
2026-06-26,Spain,Valencia,29.4,59,33.4,1,13.7,90
2026-06-27,Spain,Valencia,29.7,59,34.2,1,10.9,99
2026-06-29,Spain,Valencia,32.2,33,33.2,1,13.4,104
2026-06-30,Spain,Valencia,32.6,40,35.5,0,12.2,109
2026-07-01,Spain,Valencia,30.7,64,35.6,1,17.5,82
2026-07-02,Spain,Valencia,30.7,38,32.4,1,12.8,128
2026-07-03,Spain,Valencia,33.7,27,34.8,0,12.0,129
2026-07-04,Spain,Valencia,30.4,55,34.9,0,10.1,90
2026-07-05,Spain,Valencia,32.4,33,34.2,1,9.3,103
2026-07-06,Spain,Valencia,35.1,26,36.1,0,14.6,128
2026-07-07,Spain,Valencia,36.8,18,36.8,1,12.2,135
2026-07-08,Spain,Valencia,35.4,31,37.9,1,9.1,124
2026-07-09,Spain,Valencia,31.8,56,37.1,0,12.3,95
2026-07-10,Spain,Valencia,29.3,65,34.5,1,11.6,68
2026-07-11,Spain,Valencia,29.1,61,32.9,2,11.5,94
2026-07-12,Spain,Valencia,29.0,69,32.1,3,15.2,68
2026-07-13,Spain,Valencia,31.1,59,36.3,0,12.6,110
2026-07-14,Spain,Valencia,29.9,67,35.2,1,12.3,93
2026-07-15,Spain,Valencia,35.5,30,36.5,3,5.4,222
2026-07-16,Spain,Valencia,30.9,65,35.9,2,13.4,63
2026-07-17,Spain,Valencia,31.2,68,37.6,1,11.5,90
2026-07-18,Spain,Valencia,29.8,70,33.9,3,13.0,76
2026-07-19,Spain,Valencia,30.6,66,35.4,3,7.6,115
2026-07-20,Spain,Valencia,31.1,69,36.4,3,10.9,117
2026-07-21,Spain,Valencia,30.7,70,36.3,2,12.8,74
2026-07-22,Spain,Valencia,31.2,55,35.3,3,11.3,73
2026-07-23,Spain,Valencia,31.8,65,38.4,1,11.1,103
