date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Sweden,Gothenburg,10.6,86,7.0,51,21.6,237
2026-05-17,Sweden,Gothenburg,14.2,71,11.6,2,19.1,208
2026-05-17,Sweden,Gothenburg,14.8,58,12.2,0,18.7,207
2026-05-17,Sweden,Gothenburg,14.4,54,11.1,0,18.0,205
2026-05-18,Sweden,Gothenburg,14.0,71,13.1,3,4.0,307
2026-05-19,Sweden,Gothenburg,17.4,38,15.0,2,5.8,246
2026-05-20,Sweden,Gothenburg,15.2,77,13.5,3,14.4,167
2026-05-21,Sweden,Gothenburg,15.5,70,13.6,0,13.3,254
2026-05-22,Sweden,Gothenburg,19.1,60,17.9,0,11.2,255
2026-05-23,Sweden,Gothenburg,19.8,67,17.5,3,23.0,204
2026-05-24,Sweden,Gothenburg,19.4,54,17.2,3,19.1,295
2026-05-25,Sweden,Gothenburg,20.2,60,18.1,0,19.4,255
2026-05-26,Sweden,Gothenburg,15.8,61,12.0,1,23.4,290
2026-05-27,Sweden,Gothenburg,16.6,41,12.3,0,18.7,282
2026-05-28,Sweden,Gothenburg,17.0,33,13.6,2,9.4,306
2026-05-29,Sweden,Gothenburg,18.2,61,16.2,3,14.8,222
2026-05-30,Sweden,Gothenburg,18.2,58,16.2,1,18.7,277
2026-05-31,Sweden,Gothenburg,19.4,61,18.1,3,12.6,237
2026-06-01,Sweden,Gothenburg,15.0,87,14.8,3,7.6,168
2026-06-02,Sweden,Gothenburg,17.7,79,18.0,3,6.8,115
2026-06-03,Sweden,Gothenburg,16.4,91,16.1,51,13.3,156
2026-06-04,Sweden,Gothenburg,17.6,83,17.0,3,15.1,153
2026-06-05,Sweden,Gothenburg,18.5,75,17.9,3,13.3,222
2026-06-06,Sweden,Gothenburg,18.1,54,15.8,2,15.5,230
2026-06-07,Sweden,Gothenburg,21.1,73,21.3,3,13.0,193
