date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Sweden,Kiruna,10.5,65,7.9,2,8.6,3
2026-05-17,Sweden,Kiruna,12.9,70,11.2,3,7.6,190
2026-05-17,Sweden,Kiruna,12.6,72,10.8,3,7.9,203
2026-05-17,Sweden,Kiruna,13.5,78,12.4,3,6.8,191
2026-05-18,Sweden,Kiruna,10.8,71,8.5,2,8.3,26
2026-05-19,Sweden,Kiruna,16.4,63,14.7,3,10.4,107
2026-05-20,Sweden,Kiruna,9.2,100,8.0,3,7.2,288
2026-05-21,Sweden,Kiruna,13.7,65,12.0,2,6.8,72
2026-05-22,Sweden,Kiruna,14.8,59,11.6,3,16.6,334
2026-05-23,Sweden,Kiruna,16.5,58,14.9,3,7.6,269
2026-05-24,Sweden,Kiruna,12.4,88,11.4,3,7.6,302
2026-05-25,Sweden,Kiruna,9.3,60,5.5,3,13.7,317
2026-05-26,Sweden,Kiruna,8.9,72,6.2,3,9.0,339
2026-05-27,Sweden,Kiruna,7.8,72,3.6,1,18.0,342
2026-05-28,Sweden,Kiruna,7.6,62,4.5,3,7.9,287
2026-05-29,Sweden,Kiruna,10.2,64,7.5,3,9.0,263
2026-05-30,Sweden,Kiruna,9.1,56,5.7,3,9.7,358
2026-05-31,Sweden,Kiruna,12.6,45,9.1,2,10.8,109
2026-06-01,Sweden,Kiruna,8.4,80,5.4,1,12.2,133
2026-06-02,Sweden,Kiruna,9.2,73,6.0,3,13.3,202
2026-06-03,Sweden,Kiruna,11.8,96,10.2,51,13.7,177
2026-06-04,Sweden,Kiruna,20.4,64,18.5,3,20.5,179
2026-06-05,Sweden,Kiruna,17.3,69,14.9,3,20.2,156
2026-06-06,Sweden,Kiruna,19.9,60,18.9,2,11.2,189
2026-06-07,Sweden,Kiruna,14.4,71,12.1,3,15.1,173
