date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Sweden,Malmo,10.9,75,6.4,2,24.8,232
2026-05-17,Sweden,Malmo,15.8,42,12.7,1,18.4,194
2026-05-17,Sweden,Malmo,16.0,42,12.7,1,18.7,201
2026-05-17,Sweden,Malmo,16.1,40,11.9,2,18.0,192
2026-05-18,Sweden,Malmo,16.2,41,12.3,0,15.1,124
2026-05-19,Sweden,Malmo,16.9,46,14.3,0,10.1,199
2026-05-20,Sweden,Malmo,15.3,93,15.0,51,11.2,197
2026-05-21,Sweden,Malmo,17.9,64,16.5,2,11.5,276
2026-05-22,Sweden,Malmo,18.1,70,18.2,2,5.0,268
2026-05-23,Sweden,Malmo,22.5,55,21.5,2,18.4,210
2026-05-24,Sweden,Malmo,18.8,55,16.3,3,23.4,338
2026-05-25,Sweden,Malmo,22.8,49,20.8,0,16.9,288
2026-05-26,Sweden,Malmo,20.4,68,19.1,0,18.4,327
2026-05-27,Sweden,Malmo,16.7,50,12.4,0,22.7,333
2026-05-28,Sweden,Malmo,18.8,45,15.3,2,17.6,324
2026-05-29,Sweden,Malmo,19.3,51,16.8,3,15.5,206
2026-05-30,Sweden,Malmo,20.2,63,19.3,3,12.2,325
2026-05-31,Sweden,Malmo,19.7,65,19.1,3,10.4,276
2026-06-01,Sweden,Malmo,16.5,78,15.8,3,10.8,199
2026-06-02,Sweden,Malmo,18.8,62,16.5,3,18.4,119
2026-06-03,Sweden,Malmo,16.0,89,15.6,2,12.2,168
2026-06-04,Sweden,Malmo,18.6,79,17.9,2,16.2,162
2026-06-05,Sweden,Malmo,20.6,60,19.6,1,12.2,258
2026-06-06,Sweden,Malmo,20.8,43,19.3,1,14.4,222
2026-06-07,Sweden,Malmo,20.4,69,18.5,3,23.0,236
2026-06-08,Sweden,Malmo,19.8,58,18.7,3,10.1,185
2026-06-09,Sweden,Malmo,17.3,62,15.2,2,14.8,271
2026-06-10,Sweden,Malmo,19.2,63,18.2,1,10.4,205
2026-06-11,Sweden,Malmo,16.7,69,14.6,1,15.8,257
2026-06-12,Sweden,Malmo,17.2,68,15.1,3,16.9,202
2026-06-13,Sweden,Malmo,14.8,80,12.3,3,19.8,262
2026-06-14,Sweden,Malmo,18.6,70,17.9,2,20.2,316
2026-06-15,Sweden,Malmo,17.3,65,13.5,2,27.0,317
2026-06-16,Sweden,Malmo,17.5,47,15.2,1,14.0,300
2026-06-17,Sweden,Malmo,17.6,50,14.2,3,17.6,219
2026-06-18,Sweden,Malmo,22.1,51,21.5,2,16.2,313
2026-06-19,Sweden,Malmo,25.2,62,25.9,2,13.0,206
2026-06-20,Sweden,Malmo,23.3,58,23.1,2,15.8,265
2026-06-21,Sweden,Malmo,23.1,49,20.9,3,24.8,339
2026-06-22,Sweden,Malmo,21.7,48,18.7,3,20.5,342
2026-06-23,Sweden,Malmo,21.9,42,21.6,0,10.4,260
2026-06-24,Sweden,Malmo,24.6,43,22.4,3,17.6,220
2026-06-25,Sweden,Malmo,24.2,50,24.2,0,16.6,346
2026-06-26,Sweden,Malmo,27.0,37,27.0,0,12.6,244
2026-06-27,Sweden,Malmo,31.8,34,33.0,2,10.4,238
2026-06-29,Sweden,Malmo,24.2,62,25.2,3,8.3,304
2026-06-30,Sweden,Malmo,23.3,43,23.3,2,10.4,307
2026-07-01,Sweden,Malmo,22.8,52,20.9,3,20.5,314
2026-07-02,Sweden,Malmo,21.0,63,20.1,51,13.7,201
2026-07-03,Sweden,Malmo,15.7,81,10.4,3,41.8,282
2026-07-04,Sweden,Malmo,19.0,56,17.4,0,20.2,305
2026-07-05,Sweden,Malmo,18.7,65,15.1,3,29.2,296
2026-07-06,Sweden,Malmo,15.5,87,16.0,51,3.6,192
2026-07-07,Sweden,Malmo,17.1,86,14.0,3,32.4,271
2026-07-08,Sweden,Malmo,20.5,51,18.3,0,24.5,300
2026-07-09,Sweden,Malmo,22.3,55,22.6,0,14.4,295
2026-07-10,Sweden,Malmo,24.6,49,23.6,3,15.1,312
2026-07-11,Sweden,Malmo,23.4,48,23.5,0,11.5,259
2026-07-12,Sweden,Malmo,25.3,52,26.4,2,11.5,302
2026-07-13,Sweden,Malmo,24.1,86,27.4,3,9.7,342
2026-07-14,Sweden,Malmo,24.4,49,25.3,0,10.4,309
2026-07-15,Sweden,Malmo,23.6,48,23.7,0,13.3,287
2026-07-16,Sweden,Malmo,25.1,52,26.0,0,13.3,286
2026-07-17,Sweden,Malmo,26.7,50,27.8,2,10.1,272
2026-07-18,Sweden,Malmo,20.2,70,19.1,3,17.3,276
2026-07-19,Sweden,Malmo,19.9,69,18.7,3,16.9,236
2026-07-20,Sweden,Malmo,17.1,74,15.0,3,19.4,352
2026-07-21,Sweden,Malmo,21.5,42,18.6,0,24.5,312
2026-07-22,Sweden,Malmo,17.0,79,15.3,3,19.1,242
2026-07-23,Sweden,Malmo,21.8,54,21.5,1,17.3,312
2026-07-24,Sweden,Malmo,19.8,64,17.8,3,19.8,243
