date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Sweden,Stockholm,12.2,65,8.8,0,16.2,198
2026-05-17,Sweden,Stockholm,14.6,51,11.2,3,14.4,228
2026-05-17,Sweden,Stockholm,14.2,59,11.3,2,13.0,218
2026-05-17,Sweden,Stockholm,16.9,56,14.0,2,16.2,208
2026-05-18,Sweden,Stockholm,15.4,61,13.2,3,10.8,63
2026-05-19,Sweden,Stockholm,13.0,78,11.2,2,10.4,338
2026-05-20,Sweden,Stockholm,16.8,53,14.3,0,12.2,173
2026-05-21,Sweden,Stockholm,16.4,64,15.0,2,9.0,256
2026-05-22,Sweden,Stockholm,20.5,51,18.1,0,16.2,268
2026-05-23,Sweden,Stockholm,24.0,46,22.6,3,17.6,256
2026-05-24,Sweden,Stockholm,21.6,43,19.6,0,17.6,284
2026-05-25,Sweden,Stockholm,18.5,46,15.4,3,15.5,301
2026-05-26,Sweden,Stockholm,14.2,56,9.0,51,27.7,354
2026-05-27,Sweden,Stockholm,12.6,45,8.3,1,15.5,352
2026-05-28,Sweden,Stockholm,17.4,33,13.8,1,11.2,293
2026-05-29,Sweden,Stockholm,16.0,58,13.6,0,12.2,116
2026-05-30,Sweden,Stockholm,22.4,39,20.3,2,14.4,172
2026-05-31,Sweden,Stockholm,22.0,35,19.2,2,11.9,109
2026-06-01,Sweden,Stockholm,13.9,71,12.2,3,9.4,203
2026-06-02,Sweden,Stockholm,18.0,61,16.8,3,9.4,191
2026-06-03,Sweden,Stockholm,17.6,74,16.6,0,13.3,145
2026-06-04,Sweden,Stockholm,16.2,85,14.5,3,19.4,141
2026-06-05,Sweden,Stockholm,18.3,78,17.8,3,13.0,176
2026-06-06,Sweden,Stockholm,20.4,55,18.9,3,13.0,281
2026-06-07,Sweden,Stockholm,22.4,42,19.7,2,16.2,198
2026-06-08,Sweden,Stockholm,21.3,54,20.2,0,11.2,176
2026-06-09,Sweden,Stockholm,17.9,66,16.3,3,13.7,141
2026-06-10,Sweden,Stockholm,15.9,68,14.5,1,9.7,258
2026-06-11,Sweden,Stockholm,14.7,75,13.5,3,8.6,178
2026-06-12,Sweden,Stockholm,19.1,46,15.9,0,16.9,189
2026-06-13,Sweden,Stockholm,18.3,54,15.4,1,17.3,117
2026-06-14,Sweden,Stockholm,14.8,80,13.1,51,14.8,240
2026-06-15,Sweden,Stockholm,16.2,75,14.3,3,16.2,6
2026-06-16,Sweden,Stockholm,14.0,82,11.9,3,16.6,333
2026-06-17,Sweden,Stockholm,21.3,37,18.8,0,17.6,300
2026-06-18,Sweden,Stockholm,20.2,62,18.5,3,16.9,267
