date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Sweden,Uppsala,13.6,61,11.1,2,10.1,163
2026-05-17,Sweden,Uppsala,15.8,50,12.3,2,16.9,218
2026-05-17,Sweden,Uppsala,15.6,51,12.0,2,16.9,220
2026-05-17,Sweden,Uppsala,16.6,52,13.3,3,16.6,229
2026-05-18,Sweden,Uppsala,17.6,50,15.0,2,13.0,97
2026-05-19,Sweden,Uppsala,13.2,88,12.2,2,9.7,342
2026-05-20,Sweden,Uppsala,18.8,45,15.6,0,16.2,178
2026-05-21,Sweden,Uppsala,15.7,83,15.3,2,8.6,236
2026-05-22,Sweden,Uppsala,20.8,50,19.2,1,11.2,249
2026-05-23,Sweden,Uppsala,24.2,54,22.5,3,21.2,236
2026-05-24,Sweden,Uppsala,23.3,31,20.6,0,16.6,297
