date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Switzerland,Bern,8.9,63,6.6,2,3.6,276
2026-05-17,Switzerland,Bern,13.5,49,11.8,3,4.6,288
2026-05-17,Switzerland,Bern,13.7,49,11.8,3,4.8,297
2026-05-17,Switzerland,Bern,14.6,42,11.6,2,8.1,302
2026-05-18,Switzerland,Bern,12.1,82,11.2,80,4.4,279
2026-05-19,Switzerland,Bern,14.9,64,14.0,3,2.6,164
2026-05-20,Switzerland,Bern,18.1,49,16.6,1,5.5,302
2026-05-21,Switzerland,Bern,21.5,44,19.9,0,9.0,53
2026-05-22,Switzerland,Bern,25.4,25,23.1,3,5.6,40
2026-05-23,Switzerland,Bern,26.0,38,27.0,0,8.7,17
2026-05-24,Switzerland,Bern,27.9,32,27.8,0,13.1,53
2026-05-25,Switzerland,Bern,28.7,28,27.0,0,9.0,53
2026-05-26,Switzerland,Bern,28.0,35,27.8,3,4.0,297
2026-05-27,Switzerland,Bern,26.4,38,25.8,2,6.4,38
2026-05-28,Switzerland,Bern,23.4,49,23.1,0,6.5,19
2026-05-29,Switzerland,Bern,24.2,34,22.7,0,5.4,70
2026-05-30,Switzerland,Bern,26.7,38,27.4,3,7.2,307
2026-05-31,Switzerland,Bern,22.0,66,21.8,3,14.3,280
2026-06-01,Switzerland,Bern,17.0,63,16.9,2,0.8,207
2026-06-02,Switzerland,Bern,12.8,88,12.5,3,4.0,190
2026-06-03,Switzerland,Bern,12.7,71,11.5,3,4.4,235
2026-06-04,Switzerland,Bern,12.7,75,10.6,61,11.5,229
2026-06-05,Switzerland,Bern,15.8,68,14.8,3,7.4,47
2026-06-06,Switzerland,Bern,20.9,47,20.2,2,14.4,267
2026-06-07,Switzerland,Bern,22.9,40,21.9,0,8.1,302
