date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Switzerland,Lucerne,8.8,79,7.0,1,4.4,171
2026-05-17,Switzerland,Lucerne,14.9,41,13.4,3,3.2,333
2026-05-17,Switzerland,Lucerne,15.2,39,13.2,3,3.1,306
2026-05-17,Switzerland,Lucerne,16.0,38,13.5,3,4.1,322
2026-05-18,Switzerland,Lucerne,13.1,68,11.9,2,4.0,175
2026-05-19,Switzerland,Lucerne,15.8,57,14.5,3,4.7,274
2026-05-20,Switzerland,Lucerne,17.9,63,17.6,2,3.5,24
2026-05-21,Switzerland,Lucerne,21.3,51,20.7,3,5.9,43
2026-05-22,Switzerland,Lucerne,25.3,31,23.8,3,5.4,37
2026-05-23,Switzerland,Lucerne,26.0,40,27.8,0,5.6,40
2026-05-24,Switzerland,Lucerne,27.6,44,30.6,0,4.2,20
2026-05-25,Switzerland,Lucerne,30.0,25,28.2,0,8.0,36
2026-05-26,Switzerland,Lucerne,28.5,46,30.2,3,2.3,108
2026-05-27,Switzerland,Lucerne,27.9,36,27.6,2,5.2,348
2026-05-28,Switzerland,Lucerne,24.3,53,25.0,2,4.1,322
2026-05-29,Switzerland,Lucerne,26.5,24,24.3,0,5.9,43
2026-05-30,Switzerland,Lucerne,28.8,27,29.5,3,3.7,331
2026-05-31,Switzerland,Lucerne,21.9,52,18.8,3,25.0,303
2026-06-01,Switzerland,Lucerne,15.7,81,16.1,3,3.0,256
2026-06-02,Switzerland,Lucerne,14.3,88,14.6,3,3.1,291
2026-06-03,Switzerland,Lucerne,13.3,77,12.3,1,5.8,240
2026-06-04,Switzerland,Lucerne,13.6,76,11.8,61,11.4,252
2026-06-05,Switzerland,Lucerne,17.2,61,16.5,3,4.3,24
