date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Switzerland,Zurich,9.3,69,7.5,80,2.5,135
2026-05-17,Switzerland,Zurich,15.2,37,13.0,3,1.5,256
2026-05-17,Switzerland,Zurich,14.9,39,12.4,3,4.0,280
2026-05-17,Switzerland,Zurich,15.9,38,13.8,3,1.8,307
2026-05-18,Switzerland,Zurich,13.4,65,12.1,3,3.9,214
2026-05-19,Switzerland,Zurich,16.8,42,14.5,3,5.8,266
2026-05-20,Switzerland,Zurich,18.0,52,16.2,2,8.9,291
2026-05-21,Switzerland,Zurich,22.2,33,19.7,3,9.2,59
2026-05-22,Switzerland,Zurich,26.4,25,24.1,0,6.9,47
2026-05-23,Switzerland,Zurich,27.2,34,28.3,0,6.4,344
