date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Thailand,Chiang Mai,25.2,88,30.4,3,2.6,168
2026-05-17,Thailand,Chiang Mai,30.4,74,36.8,3,3.1,249
2026-05-17,Thailand,Chiang Mai,29.7,64,34.1,2,3.9,236
2026-05-17,Thailand,Chiang Mai,29.5,68,34.2,3,5.5,193
2026-05-18,Thailand,Chiang Mai,25.4,97,31.8,3,1.9,299
2026-05-19,Thailand,Chiang Mai,27.4,83,33.0,3,4.6,171
2026-05-20,Thailand,Chiang Mai,26.9,84,32.3,1,4.3,213
2026-05-21,Thailand,Chiang Mai,25.0,94,30.9,3,0.6,34
2026-05-22,Thailand,Chiang Mai,25.9,94,32.1,51,3.1,357
2026-05-23,Thailand,Chiang Mai,27.0,87,33.4,3,1.4,23
2026-05-24,Thailand,Chiang Mai,27.0,84,32.9,95,2.6,39
2026-05-25,Thailand,Chiang Mai,26.0,93,32.7,3,0.2,360
2026-05-26,Thailand,Chiang Mai,25.5,95,31.8,3,0.6,236
2026-05-27,Thailand,Chiang Mai,24.6,96,30.5,2,0.6,146
2026-05-28,Thailand,Chiang Mai,24.2,96,29.6,3,2.9,338
2026-05-29,Thailand,Chiang Mai,23.8,96,28.9,81,3.2,214
2026-05-30,Thailand,Chiang Mai,25.0,90,29.3,81,9.2,242
