date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Thailand,Phuket,27.0,79,31.4,3,7.0,258
2026-05-17,Thailand,Phuket,27.5,82,31.4,3,15.3,300
2026-05-17,Thailand,Phuket,27.4,85,32.4,3,9.4,306
2026-05-17,Thailand,Phuket,27.2,89,33.4,3,4.5,313
2026-05-18,Thailand,Phuket,26.0,91,30.3,55,14.4,299
2026-05-19,Thailand,Phuket,25.0,95,29.5,51,12.2,289
2026-05-20,Thailand,Phuket,25.9,95,32.0,3,4.6,257
2026-05-21,Thailand,Phuket,27.2,84,32.5,3,6.8,259
2026-05-22,Thailand,Phuket,25.1,96,30.5,81,7.3,277
2026-05-23,Thailand,Phuket,27.4,87,33.0,3,7.9,250
2026-05-24,Thailand,Phuket,25.5,98,32.0,95,2.3,270
2026-05-25,Thailand,Phuket,24.5,96,28.0,81,16.6,248
2026-05-26,Thailand,Phuket,25.0,96,30.2,51,7.7,300
2026-05-27,Thailand,Phuket,27.6,84,32.4,1,11.7,266
2026-05-28,Thailand,Phuket,27.0,88,32.1,95,9.9,269
2026-05-29,Thailand,Phuket,25.3,96,30.4,3,9.7,305
2026-05-30,Thailand,Phuket,25.8,91,30.5,55,10.1,287
2026-05-31,Thailand,Phuket,25.9,95,31.4,51,8.0,297
2026-06-01,Thailand,Phuket,25.6,93,29.6,51,15.8,278
2026-06-02,Thailand,Phuket,24.5,92,27.9,80,15.5,267
2026-06-03,Thailand,Phuket,26.0,91,29.9,51,16.9,254
2026-06-04,Thailand,Phuket,26.5,93,32.2,3,8.2,251
2026-06-05,Thailand,Phuket,26.4,95,32.6,3,5.9,191
2026-06-06,Thailand,Phuket,27.1,92,33.1,3,7.6,256
2026-06-07,Thailand,Phuket,28.0,86,34.4,3,3.6,207
2026-06-08,Thailand,Phuket,26.3,95,32.6,3,4.0,260
2026-06-09,Thailand,Phuket,25.4,96,30.5,3,9.8,257
2026-06-10,Thailand,Phuket,26.5,90,32.7,3,2.4,171
2026-06-11,Thailand,Phuket,26.6,90,33.1,1,1.0,158
2026-06-12,Thailand,Phuket,27.4,84,32.5,2,9.4,110
2026-06-13,Thailand,Phuket,26.7,91,33.2,1,1.9,209
2026-06-14,Thailand,Phuket,28.5,80,34.3,3,4.6,291
2026-06-15,Thailand,Phuket,27.4,88,33.5,3,4.8,165
2026-06-16,Thailand,Phuket,27.4,87,33.7,2,3.4,286
2026-06-17,Thailand,Phuket,27.6,86,33.7,3,4.6,129
2026-06-18,Thailand,Phuket,27.5,87,34.2,3,0.8,27
2026-06-19,Thailand,Phuket,26.9,85,32.1,3,6.6,249
2026-06-20,Thailand,Phuket,27.9,77,32.3,3,9.3,292
2026-06-21,Thailand,Phuket,27.7,79,32.4,3,8.5,328
2026-06-22,Thailand,Phuket,27.8,75,32.1,1,8.1,307
2026-06-23,Thailand,Phuket,27.8,81,32.4,3,10.9,282
2026-06-24,Thailand,Phuket,28.6,78,33.4,1,10.1,258
2026-06-25,Thailand,Phuket,28.3,77,33.0,3,9.5,269
2026-06-26,Thailand,Phuket,25.3,91,29.0,51,14.8,286
2026-06-27,Thailand,Phuket,27.6,82,32.3,3,10.5,289
2026-06-29,Thailand,Phuket,26.5,88,30.9,3,12.6,269
