date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Turkey,Ankara,13.0,43,10.2,3,5.2,124
2026-05-17,Turkey,Ankara,19.9,57,18.4,2,12.6,180
2026-05-17,Turkey,Ankara,17.4,75,16.4,63,12.8,238
2026-05-17,Turkey,Ankara,17.1,77,15.2,80,19.6,257
2026-05-18,Turkey,Ankara,12.8,68,11.5,2,4.1,322
2026-05-19,Turkey,Ankara,16.7,60,16.0,3,3.2,90
2026-05-20,Turkey,Ankara,13.3,89,13.2,61,4.1,232
2026-05-21,Turkey,Ankara,14.6,85,14.4,3,5.2,214
2026-05-22,Turkey,Ankara,16.3,71,15.8,3,5.8,30
2026-05-23,Turkey,Ankara,18.0,64,17.6,3,4.5,346
2026-05-24,Turkey,Ankara,18.7,62,18.5,3,3.6,6
