date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Turkey,Antalya,20.2,88,21.5,3,11.0,23
2026-05-17,Turkey,Antalya,21.6,75,21.6,3,17.2,143
2026-05-17,Turkey,Antalya,21.2,76,21.0,3,17.9,142
2026-05-17,Turkey,Antalya,20.9,77,20.8,3,16.6,139
2026-05-18,Turkey,Antalya,24.3,37,23.0,1,6.6,319
2026-05-19,Turkey,Antalya,21.3,75,21.7,3,12.9,77
2026-05-20,Turkey,Antalya,20.4,78,22.2,1,2.8,50
2026-05-21,Turkey,Antalya,22.7,64,23.2,0,8.7,60
2026-05-22,Turkey,Antalya,21.2,73,22.2,3,7.6,335
2026-05-23,Turkey,Antalya,20.0,77,20.1,80,12.3,165
2026-05-24,Turkey,Antalya,22.4,69,22.8,3,18.2,172
2026-05-25,Turkey,Antalya,22.6,68,24.3,3,3.3,84
2026-05-26,Turkey,Antalya,22.8,72,25.1,0,3.0,76
2026-05-27,Turkey,Antalya,23.1,71,24.7,1,7.1,49
2026-05-28,Turkey,Antalya,22.3,68,22.6,3,11.6,36
2026-05-29,Turkey,Antalya,25.5,34,22.7,0,16.6,326
2026-05-30,Turkey,Antalya,26.4,34,24.5,0,18.7,169
2026-05-31,Turkey,Antalya,23.6,68,24.4,1,12.6,143
