date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Turkey,Cappadocia,12.0,65,9.9,3,7.3,189
2026-05-17,Turkey,Cappadocia,20.7,45,18.3,2,18.8,258
2026-05-17,Turkey,Cappadocia,20.4,47,18.8,1,10.6,260
2026-05-17,Turkey,Cappadocia,20.9,46,19.9,80,4.8,228
2026-05-18,Turkey,Cappadocia,12.6,63,9.9,2,10.9,287
2026-05-19,Turkey,Cappadocia,14.1,67,13.4,3,2.0,45
2026-05-20,Turkey,Cappadocia,11.4,90,9.9,80,10.3,299
2026-05-21,Turkey,Cappadocia,12.8,87,12.5,2,3.3,311
2026-05-22,Turkey,Cappadocia,15.2,78,15.2,61,3.4,72
2026-05-23,Turkey,Cappadocia,16.3,78,15.9,95,8.2,285
2026-05-24,Turkey,Cappadocia,17.7,57,15.8,3,12.5,311
2026-05-25,Turkey,Cappadocia,14.6,85,14.7,95,4.1,15
2026-05-26,Turkey,Cappadocia,16.6,53,15.0,0,5.6,50
2026-05-27,Turkey,Cappadocia,20.2,42,19.1,1,2.2,81
2026-05-28,Turkey,Cappadocia,14.3,80,14.1,3,3.6,186
2026-05-29,Turkey,Cappadocia,12.0,76,9.0,80,17.0,343
2026-05-30,Turkey,Cappadocia,15.8,30,12.9,0,12.2,315
2026-05-31,Turkey,Cappadocia,19.6,39,17.1,1,9.4,342
2026-06-01,Turkey,Cappadocia,15.0,57,12.8,0,9.2,206
2026-06-02,Turkey,Cappadocia,17.3,61,16.1,0,7.9,196
2026-06-03,Turkey,Cappadocia,16.9,63,15.7,0,8.5,192
2026-06-04,Turkey,Cappadocia,19.9,64,20.3,1,3.7,151
2026-06-05,Turkey,Cappadocia,22.8,43,22.0,3,4.8,297
2026-06-06,Turkey,Cappadocia,25.3,40,23.1,3,16.7,25
2026-06-07,Turkey,Cappadocia,24.2,31,21.3,0,13.7,357
2026-06-08,Turkey,Cappadocia,19.9,39,17.2,0,11.2,57
2026-06-09,Turkey,Cappadocia,20.9,45,19.4,3,7.7,62
2026-06-10,Turkey,Cappadocia,18.3,74,18.8,0,5.1,274
2026-06-11,Turkey,Cappadocia,20.0,48,19.1,0,4.4,171
2026-06-12,Turkey,Cappadocia,22.6,39,21.0,3,7.1,210
2026-06-13,Turkey,Cappadocia,16.6,85,17.2,80,5.7,72
2026-06-14,Turkey,Cappadocia,20.5,53,20.4,3,11.3,353
2026-06-15,Turkey,Cappadocia,22.6,40,20.9,0,8.8,348
2026-06-16,Turkey,Cappadocia,26.1,32,25.7,0,4.7,360
2026-06-17,Turkey,Cappadocia,28.1,24,25.7,0,16.8,48
2026-06-18,Turkey,Cappadocia,29.0,24,28.2,0,10.6,35
2026-06-19,Turkey,Cappadocia,22.8,52,22.8,2,9.4,320
2026-06-20,Turkey,Cappadocia,22.0,51,22.0,2,14.0,348
2026-06-21,Turkey,Cappadocia,23.6,45,23.9,0,13.0,19
2026-06-22,Turkey,Cappadocia,24.3,45,21.4,1,23.7,22
2026-06-23,Turkey,Cappadocia,24.2,50,24.6,2,15.5,342
2026-06-24,Turkey,Cappadocia,24.7,50,25.7,1,14.0,359
2026-06-25,Turkey,Cappadocia,26.7,29,25.3,0,17.9,350
2026-06-26,Turkey,Cappadocia,26.9,31,24.7,1,23.5,18
2026-06-27,Turkey,Cappadocia,24.7,33,21.8,1,28.1,19
2026-06-29,Turkey,Cappadocia,27.3,33,25.9,0,17.1,30
2026-06-30,Turkey,Cappadocia,28.1,23,26.7,0,15.6,23
2026-07-01,Turkey,Cappadocia,30.2,24,29.5,0,13.7,30
2026-07-02,Turkey,Cappadocia,31.1,21,29.8,0,16.5,349
2026-07-03,Turkey,Cappadocia,32.3,22,29.7,2,22.9,315
2026-07-04,Turkey,Cappadocia,29.1,27,28.0,0,19.1,316
2026-07-05,Turkey,Cappadocia,26.8,34,26.4,2,12.7,8
2026-07-06,Turkey,Cappadocia,27.0,32,25.3,1,17.9,10
2026-07-07,Turkey,Cappadocia,26.5,31,24.4,2,18.3,345
2026-07-08,Turkey,Cappadocia,26.3,32,26.7,1,11.3,351
2026-07-09,Turkey,Cappadocia,29.6,22,28.4,1,12.6,13
2026-07-10,Turkey,Cappadocia,29.4,29,28.6,1,15.8,311
2026-07-11,Turkey,Cappadocia,28.1,38,28.7,2,13.1,8
2026-07-12,Turkey,Cappadocia,28.9,30,29.4,0,12.9,13
2026-07-13,Turkey,Cappadocia,30.2,22,28.6,0,16.9,360
2026-07-14,Turkey,Cappadocia,30.0,31,29.3,1,20.3,300
2026-07-15,Turkey,Cappadocia,26.9,37,27.4,1,14.2,353
2026-07-16,Turkey,Cappadocia,26.9,30,25.7,0,18.8,12
