date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Turkey,Istanbul,19.4,61,19.2,3,5.1,45
2026-05-17,Turkey,Istanbul,19.8,60,18.1,3,20.2,310
2026-05-17,Turkey,Istanbul,19.1,69,18.1,80,13.4,329
2026-05-17,Turkey,Istanbul,19.5,62,18.4,2,12.1,337
2026-05-18,Turkey,Istanbul,17.1,79,17.6,0,3.5,204
2026-05-19,Turkey,Istanbul,18.3,52,15.4,3,17.1,39
2026-05-20,Turkey,Istanbul,17.2,85,18.3,2,2.4,243
2026-05-21,Turkey,Istanbul,16.8,91,17.6,2,6.8,205
2026-05-22,Turkey,Istanbul,17.8,82,17.2,3,14.5,35
2026-05-23,Turkey,Istanbul,18.9,74,17.7,3,17.7,12
2026-05-24,Turkey,Istanbul,19.0,81,18.1,3,19.5,5
2026-05-25,Turkey,Istanbul,21.0,53,19.8,0,10.2,18
2026-05-26,Turkey,Istanbul,19.3,70,19.2,0,9.2,26
2026-05-27,Turkey,Istanbul,21.4,52,20.6,2,8.2,38
2026-05-28,Turkey,Istanbul,19.0,87,20.0,80,9.8,28
2026-05-29,Turkey,Istanbul,16.7,58,15.3,1,7.1,75
2026-05-30,Turkey,Istanbul,21.8,49,20.3,0,18.3,227
2026-05-31,Turkey,Istanbul,22.3,59,22.0,3,10.2,212
2026-06-01,Turkey,Istanbul,20.5,72,21.6,2,4.4,35
2026-06-02,Turkey,Istanbul,21.8,72,23.3,1,5.0,360
2026-06-03,Turkey,Istanbul,21.5,72,23.5,1,1.3,236
2026-06-04,Turkey,Istanbul,26.2,51,26.3,1,11.2,6
2026-06-05,Turkey,Istanbul,20.6,79,19.6,1,22.7,23
2026-06-06,Turkey,Istanbul,26.5,53,26.8,0,19.3,21
2026-06-07,Turkey,Istanbul,24.1,61,22.5,3,24.6,27
2026-06-08,Turkey,Istanbul,20.9,81,21.1,3,17.1,39
2026-06-09,Turkey,Istanbul,21.3,69,20.4,2,17.9,38
2026-06-10,Turkey,Istanbul,20.3,81,20.7,1,14.0,44
2026-06-11,Turkey,Istanbul,20.4,77,20.7,0,12.0,44
