date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,UAE,Abu Dhabi,27.9,77,33.3,0,1.9,202
2026-05-17,UAE,Abu Dhabi,33.4,49,35.5,0,17.3,350
2026-05-17,UAE,Abu Dhabi,32.8,49,34.7,0,15.8,345
2026-05-17,UAE,Abu Dhabi,31.1,62,34.5,0,13.7,335
2026-05-18,UAE,Abu Dhabi,28.5,49,28.6,0,15.8,293
2026-05-19,UAE,Abu Dhabi,30.1,56,32.6,0,10.1,273
2026-05-20,UAE,Abu Dhabi,29.0,59,30.4,0,17.0,297
2026-05-21,UAE,Abu Dhabi,28.6,69,32.3,0,9.4,266
2026-05-22,UAE,Abu Dhabi,31.2,49,34.2,0,2.5,8
2026-05-23,UAE,Abu Dhabi,32.2,48,33.1,0,19.7,299
2026-05-24,UAE,Abu Dhabi,34.2,50,37.7,0,12.5,288
