date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,UAE,Dubai,27.1,76,31.9,0,2.3,108
2026-05-17,UAE,Dubai,33.5,55,37.3,95,13.0,349
2026-05-17,UAE,Dubai,33.2,53,36.5,0,12.5,349
2026-05-17,UAE,Dubai,31.8,57,35.4,0,8.7,347
2026-05-18,UAE,Dubai,28.0,60,29.4,0,15.4,247
2026-05-19,UAE,Dubai,29.8,48,31.3,0,8.6,202
2026-05-20,UAE,Dubai,29.4,59,31.2,0,15.8,256
2026-05-21,UAE,Dubai,28.9,61,32.1,0,6.4,190
2026-05-22,UAE,Dubai,31.2,55,34.8,0,5.7,229
2026-05-23,UAE,Dubai,32.8,45,33.8,0,17.4,259
2026-05-24,UAE,Dubai,34.2,51,37.6,0,12.8,322
2026-05-25,UAE,Dubai,30.6,66,35.6,0,5.9,348
2026-05-26,UAE,Dubai,29.2,81,35.7,95,4.7,198
2026-05-27,UAE,Dubai,29.6,77,35.5,95,6.9,200
2026-05-28,UAE,Dubai,29.3,75,35.1,95,3.9,158
2026-05-29,UAE,Dubai,29.9,65,34.3,0,6.0,209
2026-05-30,UAE,Dubai,35.2,42,37.6,0,11.1,263
2026-05-31,UAE,Dubai,31.9,63,36.2,0,12.2,234
2026-06-01,UAE,Dubai,29.2,60,31.2,0,14.9,188
2026-06-02,UAE,Dubai,30.5,57,32.8,0,13.9,205
2026-06-03,UAE,Dubai,30.5,64,34.0,0,12.4,208
2026-06-04,UAE,Dubai,32.6,58,37.1,0,7.7,245
2026-06-05,UAE,Dubai,30.4,83,38.0,95,3.8,211
2026-06-06,UAE,Dubai,33.8,55,37.6,0,13.4,265
2026-06-07,UAE,Dubai,32.4,71,38.9,95,7.8,337
2026-06-08,UAE,Dubai,33.6,51,36.7,0,12.1,266
2026-06-09,UAE,Dubai,31.3,65,35.8,0,9.8,223
2026-06-10,UAE,Dubai,30.7,71,36.3,0,7.3,210
2026-06-11,UAE,Dubai,30.3,73,35.7,0,8.2,209
2026-06-12,UAE,Dubai,30.2,80,37.7,95,1.3,262
2026-06-13,UAE,Dubai,32.3,64,37.8,0,6.3,336
2026-06-14,UAE,Dubai,37.9,40,41.0,0,17.1,326
2026-06-15,UAE,Dubai,32.5,66,37.7,0,11.5,269
2026-06-16,UAE,Dubai,33.2,56,35.8,0,20.5,264
2026-06-17,UAE,Dubai,35.1,44,37.4,0,14.4,3
2026-06-18,UAE,Dubai,38.1,36,39.5,0,18.4,357
2026-06-19,UAE,Dubai,39.1,34,40.7,0,16.1,327
2026-06-20,UAE,Dubai,38.9,34,42.2,0,13.0,305
2026-06-21,UAE,Dubai,36.1,41,39.3,0,12.1,300
2026-06-22,UAE,Dubai,35.1,56,40.6,0,8.5,343
2026-06-23,UAE,Dubai,37.7,45,42.0,0,14.4,332
2026-06-24,UAE,Dubai,37.7,48,42.7,0,15.4,330
2026-06-25,UAE,Dubai,37.8,37,40.7,0,13.7,297
2026-06-26,UAE,Dubai,36.0,47,39.9,0,14.6,272
2026-06-27,UAE,Dubai,35.1,56,40.2,0,18.0,328
2026-06-29,UAE,Dubai,34.9,60,40.2,0,13.8,290
2026-06-30,UAE,Dubai,36.0,53,41.1,0,16.0,269
2026-07-01,UAE,Dubai,36.1,50,40.6,3,13.8,277
2026-07-02,UAE,Dubai,37.4,40,41.0,0,13.4,294
2026-07-03,UAE,Dubai,37.7,58,44.1,0,21.1,348
