date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,UAE,Ras Al Khaimah,27.0,80,32.6,0,1.2,321
2026-05-17,UAE,Ras Al Khaimah,33.0,45,34.3,0,15.4,344
2026-05-17,UAE,Ras Al Khaimah,32.8,44,34.3,0,12.3,3
2026-05-17,UAE,Ras Al Khaimah,32.7,42,34.6,0,6.0,33
2026-05-18,UAE,Ras Al Khaimah,27.1,61,28.9,0,10.6,162
2026-05-19,UAE,Ras Al Khaimah,30.9,28,29.7,0,8.5,148
2026-05-20,UAE,Ras Al Khaimah,29.0,54,31.5,0,5.0,167
2026-05-21,UAE,Ras Al Khaimah,29.4,48,31.1,0,5.5,161
2026-05-22,UAE,Ras Al Khaimah,33.4,23,33.1,0,1.1,261
2026-05-23,UAE,Ras Al Khaimah,35.5,31,36.2,0,10.4,268
2026-05-24,UAE,Ras Al Khaimah,32.8,52,35.5,0,14.0,337
2026-05-25,UAE,Ras Al Khaimah,31.4,46,34.3,0,1.3,106
2026-05-26,UAE,Ras Al Khaimah,29.8,58,33.1,0,5.5,169
2026-05-27,UAE,Ras Al Khaimah,29.6,61,33.3,0,5.8,196
2026-05-28,UAE,Ras Al Khaimah,30.9,41,32.4,0,4.7,189
2026-05-29,UAE,Ras Al Khaimah,30.6,38,31.3,0,6.1,177
2026-05-30,UAE,Ras Al Khaimah,34.8,45,38.3,0,6.2,278
2026-05-31,UAE,Ras Al Khaimah,33.5,51,37.4,0,6.2,229
2026-06-01,UAE,Ras Al Khaimah,31.1,43,30.9,0,17.9,161
2026-06-02,UAE,Ras Al Khaimah,32.2,39,31.9,0,17.2,155
2026-06-03,UAE,Ras Al Khaimah,31.3,43,31.7,0,14.9,173
2026-06-04,UAE,Ras Al Khaimah,32.4,45,34.4,0,8.0,166
2026-06-05,UAE,Ras Al Khaimah,29.9,81,36.9,95,3.5,208
2026-06-06,UAE,Ras Al Khaimah,34.1,54,38.3,0,11.0,320
2026-06-07,UAE,Ras Al Khaimah,33.6,48,37.3,0,4.8,79
2026-06-08,UAE,Ras Al Khaimah,34.4,26,33.0,0,13.6,150
2026-06-09,UAE,Ras Al Khaimah,31.7,58,35.5,0,8.4,140
2026-06-10,UAE,Ras Al Khaimah,31.7,50,34.5,0,6.7,174
2026-06-11,UAE,Ras Al Khaimah,31.6,41,32.7,0,8.6,179
