date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ukraine,Chernivtsi,17.3,59,15.7,2,9.2,111
2026-05-17,Ukraine,Chernivtsi,20.8,37,19.3,0,12.6,95
2026-05-17,Ukraine,Chernivtsi,21.1,34,18.7,1,14.0,108
2026-05-17,Ukraine,Chernivtsi,20.9,34,18.1,2,10.2,132
2026-05-18,Ukraine,Chernivtsi,17.7,64,16.7,1,8.9,302
2026-05-19,Ukraine,Chernivtsi,18.6,60,18.1,2,5.2,344
2026-05-20,Ukraine,Chernivtsi,19.1,55,16.9,2,14.3,309
2026-05-21,Ukraine,Chernivtsi,17.9,75,17.0,3,13.8,317
2026-05-22,Ukraine,Chernivtsi,21.6,52,20.4,2,11.1,335
2026-05-23,Ukraine,Chernivtsi,22.7,37,20.9,2,14.6,344
2026-05-24,Ukraine,Chernivtsi,23.5,34,21.0,3,13.4,329
2026-05-25,Ukraine,Chernivtsi,22.9,25,18.2,3,19.7,322
