date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ukraine,Kharkiv,17.1,65,16.9,3,2.6,16
2026-05-17,Ukraine,Kharkiv,20.9,72,21.9,3,6.2,83
2026-05-17,Ukraine,Kharkiv,20.2,81,21.6,95,7.4,61
2026-05-17,Ukraine,Kharkiv,19.3,83,20.3,3,8.6,75
2026-05-18,Ukraine,Kharkiv,23.0,54,23.0,3,7.5,305
2026-05-19,Ukraine,Kharkiv,24.8,32,23.0,3,7.2,87
2026-05-20,Ukraine,Kharkiv,24.1,40,23.2,1,5.9,76
2026-05-21,Ukraine,Kharkiv,25.3,30,23.5,2,6.4,63
2026-05-22,Ukraine,Kharkiv,25.1,48,25.0,1,7.9,43
2026-05-23,Ukraine,Kharkiv,25.0,51,25.4,3,6.6,9
2026-05-24,Ukraine,Kharkiv,24.7,37,23.5,2,11.2,358
2026-05-25,Ukraine,Kharkiv,20.4,41,18.6,2,7.1,336
2026-05-26,Ukraine,Kharkiv,15.6,41,12.7,2,8.0,333
2026-05-27,Ukraine,Kharkiv,14.1,66,12.2,1,9.7,301
2026-05-28,Ukraine,Kharkiv,11.0,61,8.9,1,4.7,270
2026-05-29,Ukraine,Kharkiv,9.5,79,7.7,2,5.7,288
2026-05-30,Ukraine,Kharkiv,13.3,57,11.6,3,3.9,248
2026-05-31,Ukraine,Kharkiv,14.1,56,11.9,3,7.2,3
2026-06-01,Ukraine,Kharkiv,12.6,66,11.1,1,4.5,299
2026-06-02,Ukraine,Kharkiv,17.2,53,16.3,2,1.8,180
2026-06-03,Ukraine,Kharkiv,17.3,58,16.5,3,3.9,56
2026-06-04,Ukraine,Kharkiv,17.5,78,18.0,61,4.6,39
2026-06-05,Ukraine,Kharkiv,22.0,50,21.9,1,3.1,36
2026-06-06,Ukraine,Kharkiv,27.9,29,26.5,2,6.2,353
2026-06-07,Ukraine,Kharkiv,28.0,31,26.8,3,7.1,60
2026-06-08,Ukraine,Kharkiv,23.6,59,25.0,3,2.7,203
2026-06-09,Ukraine,Kharkiv,24.3,44,24.0,1,5.1,266
2026-06-10,Ukraine,Kharkiv,22.9,57,23.6,3,4.4,279
2026-06-11,Ukraine,Kharkiv,23.0,60,24.3,3,2.4,63
2026-06-12,Ukraine,Kharkiv,24.6,57,25.8,1,4.3,355
2026-06-13,Ukraine,Kharkiv,21.6,75,22.6,80,10.3,295
2026-06-14,Ukraine,Kharkiv,23.2,38,22.1,2,11.6,306
2026-06-15,Ukraine,Kharkiv,20.5,51,18.8,2,11.4,281
2026-06-16,Ukraine,Kharkiv,21.6,39,19.0,2,13.0,251
2026-06-17,Ukraine,Kharkiv,21.6,41,18.4,3,18.2,240
2026-06-18,Ukraine,Kharkiv,23.6,43,22.4,3,9.2,231
2026-06-19,Ukraine,Kharkiv,24.0,36,22.5,3,6.7,324
2026-06-20,Ukraine,Kharkiv,26.5,33,24.7,3,12.1,323
2026-06-21,Ukraine,Kharkiv,26.1,26,23.2,2,14.6,350
2026-06-22,Ukraine,Kharkiv,27.2,39,26.8,3,7.0,291
2026-06-23,Ukraine,Kharkiv,28.1,40,28.2,2,11.3,333
2026-06-24,Ukraine,Kharkiv,27.7,28,26.8,2,5.2,335
