date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ukraine,Lviv,16.0,82,15.1,3,12.6,7
2026-05-17,Ukraine,Lviv,23.9,24,22.2,0,9.7,74
2026-05-17,Ukraine,Lviv,24.1,23,22.0,0,9.4,81
2026-05-17,Ukraine,Lviv,24.2,22,20.9,0,9.0,97
2026-05-18,Ukraine,Lviv,16.2,71,14.4,0,14.0,285
2026-05-19,Ukraine,Lviv,20.2,48,18.8,3,7.6,347
2026-05-20,Ukraine,Lviv,18.4,63,16.7,3,14.4,327
2026-05-21,Ukraine,Lviv,20.7,54,18.7,0,15.8,2
2026-05-22,Ukraine,Lviv,21.7,37,18.4,1,16.2,1
2026-05-23,Ukraine,Lviv,23.3,30,21.6,0,13.0,15
2026-05-24,Ukraine,Lviv,25.9,33,25.5,2,7.2,306
2026-05-25,Ukraine,Lviv,23.0,38,20.3,3,14.8,316
2026-05-26,Ukraine,Lviv,24.2,40,21.7,0,16.6,284
2026-05-27,Ukraine,Lviv,20.3,24,15.1,0,20.2,348
2026-05-28,Ukraine,Lviv,16.4,28,11.6,0,15.8,322
2026-05-29,Ukraine,Lviv,15.5,47,13.2,3,6.5,321
2026-05-30,Ukraine,Lviv,22.9,25,20.1,0,14.8,341
2026-05-31,Ukraine,Lviv,18.2,64,16.8,3,12.2,292
2026-06-01,Ukraine,Lviv,17.0,67,16.4,3,6.1,115
2026-06-02,Ukraine,Lviv,15.1,86,14.8,3,7.9,129
2026-06-03,Ukraine,Lviv,18.4,80,18.7,3,9.4,181
2026-06-04,Ukraine,Lviv,20.6,82,22.2,0,7.2,88
2026-06-05,Ukraine,Lviv,22.8,70,24.1,3,8.3,174
2026-06-06,Ukraine,Lviv,18.7,64,18.1,3,7.6,359
2026-06-07,Ukraine,Lviv,22.0,55,21.9,1,6.5,297
