date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ukraine,Odessa,13.4,79,12.7,0,4.7,157
2026-05-17,Ukraine,Odessa,20.7,41,20.5,1,4.2,59
2026-05-17,Ukraine,Odessa,20.8,41,19.7,2,5.9,79
2026-05-17,Ukraine,Odessa,20.1,48,18.9,2,6.0,65
2026-05-18,Ukraine,Odessa,19.1,75,20.2,2,3.0,284
2026-05-19,Ukraine,Odessa,19.8,78,20.4,2,9.4,313
2026-05-20,Ukraine,Odessa,19.4,83,20.2,3,10.2,337
2026-05-21,Ukraine,Odessa,17.7,91,19.3,3,4.4,55
2026-05-22,Ukraine,Odessa,22.3,64,23.6,3,2.6,326
2026-05-23,Ukraine,Odessa,24.8,47,25.2,1,9.4,86
2026-05-24,Ukraine,Odessa,24.5,37,22.7,1,17.0,354
2026-05-25,Ukraine,Odessa,24.8,39,23.0,3,12.2,326
2026-05-26,Ukraine,Odessa,24.4,47,23.9,1,8.7,300
2026-05-27,Ukraine,Odessa,22.9,60,23.9,1,4.1,15
2026-05-28,Ukraine,Odessa,16.7,47,14.7,1,5.7,325
2026-05-29,Ukraine,Odessa,15.1,51,12.8,3,7.9,321
2026-05-30,Ukraine,Odessa,13.9,76,11.2,95,18.3,306
2026-05-31,Ukraine,Odessa,17.6,70,17.4,3,5.6,75
2026-06-01,Ukraine,Odessa,14.9,81,15.1,2,2.4,243
2026-06-02,Ukraine,Odessa,16.2,73,14.4,61,15.5,149
2026-06-03,Ukraine,Odessa,16.0,92,16.8,2,5.3,152
2026-06-04,Ukraine,Odessa,17.5,83,18.5,0,3.6,180
2026-06-05,Ukraine,Odessa,20.6,67,21.5,0,3.3,174
2026-06-06,Ukraine,Odessa,23.4,51,22.9,3,10.2,170
2026-06-07,Ukraine,Odessa,21.2,73,21.9,3,10.5,248
2026-06-08,Ukraine,Odessa,22.5,53,22.5,1,4.9,287
2026-06-09,Ukraine,Odessa,22.2,57,22.8,1,3.5,204
2026-06-10,Ukraine,Odessa,21.2,71,22.5,0,4.4,189
2026-06-11,Ukraine,Odessa,19.9,82,21.5,0,5.4,180
2026-06-12,Ukraine,Odessa,18.5,78,17.2,3,19.1,311
2026-06-13,Ukraine,Odessa,21.4,43,18.7,3,15.3,333
2026-06-14,Ukraine,Odessa,23.3,44,21.9,3,12.6,178
2026-06-15,Ukraine,Odessa,21.8,39,19.8,2,9.4,313
2026-06-16,Ukraine,Odessa,23.6,38,22.6,1,4.4,235
2026-06-17,Ukraine,Odessa,25.9,31,23.7,2,12.3,195
2026-06-18,Ukraine,Odessa,24.0,33,23.3,2,5.4,360
2026-06-19,Ukraine,Odessa,25.6,40,25.3,2,10.2,8
2026-06-20,Ukraine,Odessa,26.6,39,27.1,1,8.1,21
2026-06-21,Ukraine,Odessa,26.7,42,28.1,2,4.0,63
2026-06-22,Ukraine,Odessa,25.6,37,23.9,1,11.7,171
2026-06-23,Ukraine,Odessa,28.5,41,30.1,2,5.8,150
2026-06-24,Ukraine,Odessa,26.2,65,29.8,80,4.3,85
2026-06-25,Ukraine,Odessa,29.9,32,29.3,1,13.5,326
2026-06-26,Ukraine,Odessa,28.3,36,27.5,2,10.5,4
2026-06-27,Ukraine,Odessa,26.6,37,27.9,0,7.6,352
2026-06-29,Ukraine,Odessa,28.7,45,30.8,0,6.0,107
2026-06-30,Ukraine,Odessa,32.7,32,35.1,1,3.3,41
2026-07-01,Ukraine,Odessa,28.9,43,30.8,0,9.3,118
2026-07-02,Ukraine,Odessa,27.1,55,30.1,0,10.1,125
2026-07-03,Ukraine,Odessa,30.0,47,33.7,1,4.2,149
2026-07-04,Ukraine,Odessa,24.7,45,22.9,2,21.9,340
2026-07-05,Ukraine,Odessa,24.0,38,22.8,1,14.0,296
2026-07-06,Ukraine,Odessa,26.0,43,26.6,2,4.0,207
2026-07-07,Ukraine,Odessa,24.9,56,25.1,80,16.6,176
2026-07-08,Ukraine,Odessa,27.3,50,28.4,80,14.4,181
2026-07-09,Ukraine,Odessa,24.4,35,23.2,3,8.0,342
2026-07-10,Ukraine,Odessa,21.1,57,22.0,2,6.6,315
2026-07-11,Ukraine,Odessa,23.4,48,24.2,2,7.9,196
2026-07-12,Ukraine,Odessa,24.2,45,26.7,2,2.2,270
2026-07-13,Ukraine,Odessa,22.2,71,23.9,3,6.7,144
2026-07-14,Ukraine,Odessa,24.9,48,25.8,1,9.2,315
2026-07-15,Ukraine,Odessa,27.3,46,28.2,2,11.6,344
2026-07-16,Ukraine,Odessa,29.1,41,30.3,2,7.7,349
2026-07-17,Ukraine,Odessa,27.5,41,27.8,2,4.6,51
2026-07-18,Ukraine,Odessa,24.2,52,25.4,0,12.7,119
2026-07-19,Ukraine,Odessa,25.9,54,27.1,1,15.6,157
2026-07-20,Ukraine,Odessa,25.4,65,27.5,2,12.4,170
2026-07-21,Ukraine,Odessa,22.5,77,25.0,3,3.4,18
