date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,United Kingdom,Birmingham,11.4,90,10.0,3,9.4,242
2026-05-17,United Kingdom,Birmingham,11.3,74,9.2,55,9.0,276
2026-05-17,United Kingdom,Birmingham,12.4,66,10.3,53,8.3,237
2026-05-17,United Kingdom,Birmingham,13.6,53,11.1,3,7.9,263
2026-05-18,United Kingdom,Birmingham,12.5,67,9.5,3,14.4,207
2026-05-19,United Kingdom,Birmingham,15.4,65,12.0,3,21.6,222
2026-05-20,United Kingdom,Birmingham,16.0,69,13.3,3,19.1,246
2026-05-21,United Kingdom,Birmingham,21.1,55,19.9,2,11.9,208
2026-05-22,United Kingdom,Birmingham,26.2,33,23.1,0,18.7,207
2026-05-23,United Kingdom,Birmingham,21.9,46,22.1,1,8.6,278
2026-05-24,United Kingdom,Birmingham,24.4,32,24.2,0,7.6,246
2026-05-25,United Kingdom,Birmingham,33.8,23,31.9,0,12.6,199
2026-05-26,United Kingdom,Birmingham,31.5,39,32.0,0,10.1,16
2026-05-27,United Kingdom,Birmingham,24.3,51,22.5,0,20.2,76
