date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,United Kingdom,Edinburgh,9.9,68,7.1,51,10.1,240
2026-05-17,United Kingdom,Edinburgh,9.1,81,5.6,55,17.6,238
2026-05-17,United Kingdom,Edinburgh,9.7,70,4.6,3,25.6,271
2026-05-17,United Kingdom,Edinburgh,10.5,68,7.5,51,15.8,260
2026-05-18,United Kingdom,Edinburgh,13.6,57,11.8,3,5.0,173
2026-05-19,United Kingdom,Edinburgh,14.2,71,11.2,3,19.1,192
2026-05-20,United Kingdom,Edinburgh,14.9,50,10.7,2,19.8,256
2026-05-21,United Kingdom,Edinburgh,17.5,72,16.0,3,15.5,203
2026-05-22,United Kingdom,Edinburgh,18.4,57,15.7,3,18.4,228
2026-05-23,United Kingdom,Edinburgh,18.3,45,15.6,3,17.3,252
2026-05-24,United Kingdom,Edinburgh,20.1,51,18.4,2,13.0,242
2026-05-25,United Kingdom,Edinburgh,24.3,45,22.8,0,14.4,268
2026-05-26,United Kingdom,Edinburgh,15.6,68,12.1,1,23.8,62
2026-05-27,United Kingdom,Edinburgh,16.6,66,14.0,2,18.7,64
2026-05-28,United Kingdom,Edinburgh,19.2,67,18.8,0,9.0,334
2026-05-29,United Kingdom,Edinburgh,15.3,71,11.7,3,25.6,251
2026-05-30,United Kingdom,Edinburgh,17.6,57,17.1,3,2.2,28
2026-05-31,United Kingdom,Edinburgh,16.8,56,13.8,2,16.6,262
2026-06-01,United Kingdom,Edinburgh,16.0,85,15.9,51,9.0,207
2026-06-02,United Kingdom,Edinburgh,16.3,66,13.7,2,18.0,264
2026-06-03,United Kingdom,Edinburgh,13.3,80,11.9,51,10.1,221
2026-06-04,United Kingdom,Edinburgh,14.7,68,10.8,3,24.8,263
2026-06-05,United Kingdom,Edinburgh,14.4,59,11.7,3,13.0,257
2026-06-06,United Kingdom,Edinburgh,14.0,70,11.9,3,12.6,132
2026-06-07,United Kingdom,Edinburgh,17.3,58,13.9,3,21.6,212
2026-06-08,United Kingdom,Edinburgh,15.6,44,12.4,3,11.9,268
2026-06-09,United Kingdom,Edinburgh,12.3,66,8.8,3,17.6,242
2026-06-10,United Kingdom,Edinburgh,13.5,62,10.2,2,16.9,266
2026-06-11,United Kingdom,Edinburgh,14.4,80,12.3,3,16.9,254
2026-06-12,United Kingdom,Edinburgh,13.9,65,9.6,2,25.2,261
2026-06-13,United Kingdom,Edinburgh,13.6,68,9.1,3,27.0,262
2026-06-14,United Kingdom,Edinburgh,15.7,58,13.6,3,10.4,43
2026-06-15,United Kingdom,Edinburgh,14.3,58,10.5,3,20.2,67
2026-06-16,United Kingdom,Edinburgh,14.3,78,13.3,3,8.3,42
2026-06-17,United Kingdom,Edinburgh,18.5,54,16.3,3,14.0,264
2026-06-18,United Kingdom,Edinburgh,17.0,74,16.4,51,9.4,190
2026-06-19,United Kingdom,Edinburgh,17.4,84,16.9,51,14.4,210
2026-06-20,United Kingdom,Edinburgh,17.0,54,14.1,2,16.9,258
2026-06-21,United Kingdom,Edinburgh,18.3,56,17.7,1,6.5,41
2026-06-22,United Kingdom,Edinburgh,18.8,73,19.4,3,4.7,56
2026-06-23,United Kingdom,Edinburgh,23.6,66,25.4,3,4.3,338
2026-06-24,United Kingdom,Edinburgh,22.3,52,22.8,0,10.8,268
2026-06-25,United Kingdom,Edinburgh,19.0,73,19.2,0,16.2,56
2026-06-26,United Kingdom,Edinburgh,18.2,77,17.4,3,15.1,62
2026-06-27,United Kingdom,Edinburgh,21.6,63,19.9,3,20.9,201
2026-06-29,United Kingdom,Edinburgh,17.4,60,14.5,3,19.1,253
2026-06-30,United Kingdom,Edinburgh,15.7,85,15.9,61,5.8,150
2026-07-01,United Kingdom,Edinburgh,16.1,92,17.3,55,3.2,295
2026-07-02,United Kingdom,Edinburgh,17.0,53,12.5,2,29.2,286
2026-07-03,United Kingdom,Edinburgh,15.8,71,12.8,3,22.0,254
2026-07-04,United Kingdom,Edinburgh,16.8,80,14.4,3,23.4,255
2026-07-05,United Kingdom,Edinburgh,16.1,79,14.3,3,17.3,253
2026-07-06,United Kingdom,Edinburgh,17.6,74,14.5,3,29.2,251
2026-07-07,United Kingdom,Edinburgh,18.6,70,16.4,3,21.6,253
2026-07-08,United Kingdom,Edinburgh,22.0,65,22.5,0,15.1,259
2026-07-09,United Kingdom,Edinburgh,22.9,56,23.3,0,14.0,251
2026-07-10,United Kingdom,Edinburgh,21.3,64,22.2,1,12.2,66
2026-07-11,United Kingdom,Edinburgh,15.4,95,14.4,3,18.0,60
2026-07-12,United Kingdom,Edinburgh,14.9,82,13.3,3,15.1,61
2026-07-13,United Kingdom,Edinburgh,15.6,65,13.7,2,19.1,51
2026-07-14,United Kingdom,Edinburgh,14.6,73,12.7,3,13.3,52
2026-07-15,United Kingdom,Edinburgh,15.3,73,14.5,2,12.2,49
2026-07-16,United Kingdom,Edinburgh,15.3,67,15.1,0,8.6,62
2026-07-17,United Kingdom,Edinburgh,16.7,65,16.2,2,10.1,71
2026-07-18,United Kingdom,Edinburgh,16.3,60,15.2,3,5.4,22
2026-07-19,United Kingdom,Edinburgh,15.6,51,14.9,0,4.3,15
2026-07-20,United Kingdom,Edinburgh,19.9,51,19.5,2,5.0,1
2026-07-21,United Kingdom,Edinburgh,19.4,61,19.4,1,7.6,294
2026-07-22,United Kingdom,Edinburgh,20.7,49,20.0,1,9.7,293
