date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,United Kingdom,Glasgow,9.2,85,7.4,53,6.8,214
2026-05-17,United Kingdom,Glasgow,8.3,85,4.6,53,18.7,232
2026-05-17,United Kingdom,Glasgow,8.9,82,6.6,61,9.4,247
2026-05-17,United Kingdom,Glasgow,10.5,75,8.1,53,9.7,264
2026-05-18,United Kingdom,Glasgow,12.7,64,10.5,3,8.6,157
2026-05-19,United Kingdom,Glasgow,14.1,75,11.7,3,15.8,199
2026-05-20,United Kingdom,Glasgow,14.6,55,11.0,1,17.3,258
2026-05-21,United Kingdom,Glasgow,18.0,70,16.3,3,17.3,200
2026-05-22,United Kingdom,Glasgow,16.4,72,14.8,3,14.4,210
2026-05-23,United Kingdom,Glasgow,17.2,53,14.6,2,16.6,232
2026-05-24,United Kingdom,Glasgow,19.0,57,17.4,2,17.3,234
2026-05-25,United Kingdom,Glasgow,22.8,47,21.2,0,13.0,266
2026-05-26,United Kingdom,Glasgow,19.5,58,16.9,0,20.5,66
2026-05-27,United Kingdom,Glasgow,18.2,59,15.3,0,20.5,62
2026-05-28,United Kingdom,Glasgow,23.4,53,22.6,2,12.2,170
2026-05-29,United Kingdom,Glasgow,15.4,64,12.6,1,16.6,257
2026-05-30,United Kingdom,Glasgow,16.9,73,17.0,3,3.6,205
2026-05-31,United Kingdom,Glasgow,15.8,62,12.8,3,18.0,254
2026-06-01,United Kingdom,Glasgow,15.8,89,15.9,3,8.6,192
2026-06-02,United Kingdom,Glasgow,15.4,75,14.0,2,11.9,272
2026-06-03,United Kingdom,Glasgow,13.0,82,11.6,3,9.7,210
2026-06-04,United Kingdom,Glasgow,13.8,74,10.2,3,23.8,269
2026-06-05,United Kingdom,Glasgow,14.9,58,12.0,3,14.8,218
2026-06-06,United Kingdom,Glasgow,13.8,74,12.0,3,11.2,111
2026-06-07,United Kingdom,Glasgow,16.1,71,13.7,3,18.0,194
2026-06-08,United Kingdom,Glasgow,13.8,57,10.6,3,14.8,230
2026-06-09,United Kingdom,Glasgow,12.3,67,9.3,3,14.4,288
2026-06-10,United Kingdom,Glasgow,13.3,62,10.3,2,14.4,260
2026-06-11,United Kingdom,Glasgow,14.2,83,12.3,3,15.8,251
2026-06-12,United Kingdom,Glasgow,12.7,74,8.1,3,28.8,261
2026-06-13,United Kingdom,Glasgow,12.6,78,8.6,3,25.9,269
2026-06-14,United Kingdom,Glasgow,17.0,51,15.5,3,4.7,90
2026-06-15,United Kingdom,Glasgow,17.4,52,14.9,3,13.0,73
