date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,United Kingdom,London,12.0,85,10.1,51,11.9,220
2026-05-17,United Kingdom,London,15.1,44,11.7,3,12.2,258
2026-05-17,United Kingdom,London,15.6,42,12.1,3,12.2,256
2026-05-17,United Kingdom,London,16.4,36,12.6,3,13.0,267
2026-05-18,United Kingdom,London,13.4,59,10.0,3,15.8,220
2026-05-19,United Kingdom,London,16.6,62,13.3,3,21.6,222
2026-05-20,United Kingdom,London,17.5,64,14.4,3,22.7,266
2026-05-21,United Kingdom,London,23.4,45,22.1,1,11.2,203
2026-05-22,United Kingdom,London,27.3,36,25.2,0,16.2,208
2026-05-23,United Kingdom,London,26.7,41,28.2,0,6.8,302
2026-05-24,United Kingdom,London,26.6,39,29.0,0,1.1,308
2026-05-25,United Kingdom,London,33.3,29,31.9,0,15.8,109
2026-05-26,United Kingdom,London,32.8,31,31.4,0,16.9,226
2026-05-27,United Kingdom,London,21.8,53,19.6,0,19.1,90
2026-05-28,United Kingdom,London,28.7,42,28.2,3,14.0,224
