date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,United States,New York,26.4,34,24.3,0,22.6,188
2026-05-17,United States,New York,21.7,69,22.2,3,10.3,282
2026-05-17,United States,New York,23.1,65,23.4,3,13.0,284
2026-05-17,United States,New York,26.8,44,27.8,0,9.4,274
2026-05-18,United States,New York,31.1,40,32.3,0,18.7,150
2026-05-19,United States,New York,34.1,44,38.0,0,14.3,198
2026-05-20,United States,New York,34.3,36,35.3,0,22.1,264
2026-05-21,United States,New York,15.3,90,15.2,51,9.2,349
2026-05-22,United States,New York,18.9,35,15.9,3,19.1,46
2026-05-23,United States,New York,11.8,77,9.9,3,9.2,59
2026-05-24,United States,New York,11.3,92,8.9,51,16.7,71
2026-05-25,United States,New York,16.6,94,17.1,3,9.9,213
2026-05-26,United States,New York,26.7,39,27.0,3,14.9,187
2026-05-27,United States,New York,27.8,55,29.6,3,15.8,240
2026-05-28,United States,New York,21.3,35,16.9,2,22.7,3
2026-05-29,United States,New York,24.9,31,23.4,0,17.3,272
2026-05-30,United States,New York,14.3,47,8.2,1,31.3,322
2026-05-31,United States,New York,19.7,46,19.3,0,10.5,278
