date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Vietnam,Hanoi,24.6,98,30.0,53,6.4,50
2026-05-17,Vietnam,Hanoi,27.5,89,32.5,3,14.6,125
2026-05-17,Vietnam,Hanoi,27.2,89,32.1,3,13.5,127
2026-05-17,Vietnam,Hanoi,26.4,93,31.8,3,9.9,134
2026-05-18,Vietnam,Hanoi,25.3,97,31.0,80,6.4,135
2026-05-19,Vietnam,Hanoi,27.1,93,32.8,53,11.5,157
2026-05-20,Vietnam,Hanoi,25.5,98,30.8,81,10.2,139
2026-05-21,Vietnam,Hanoi,27.0,95,33.1,3,9.6,152
2026-05-22,Vietnam,Hanoi,28.5,83,33.6,2,13.3,171
2026-05-23,Vietnam,Hanoi,31.0,81,36.9,95,16.1,158
2026-05-24,Vietnam,Hanoi,31.5,78,37.7,95,14.7,166
2026-05-25,Vietnam,Hanoi,30.6,68,34.5,0,15.2,196
2026-05-26,Vietnam,Hanoi,30.0,76,35.2,0,11.1,187
