date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Vietnam,Ho Chi Minh City,26.5,96,33.1,3,3.5,78
2026-05-17,Vietnam,Ho Chi Minh City,28.1,86,34.8,3,2.4,17
2026-05-17,Vietnam,Ho Chi Minh City,27.5,84,33.7,3,2.2,104
2026-05-17,Vietnam,Ho Chi Minh City,28.6,82,34.7,3,5.8,60
2026-05-18,Vietnam,Ho Chi Minh City,26.0,94,31.9,3,5.4,150
2026-05-19,Vietnam,Ho Chi Minh City,27.2,91,33.5,3,6.3,143
2026-05-20,Vietnam,Ho Chi Minh City,26.5,95,33.0,3,4.3,135
2026-05-21,Vietnam,Ho Chi Minh City,26.9,93,33.4,2,4.0,183
2026-05-22,Vietnam,Ho Chi Minh City,27.3,88,33.4,3,4.7,212
2026-05-23,Vietnam,Ho Chi Minh City,29.1,80,35.1,1,6.6,237
2026-05-24,Vietnam,Ho Chi Minh City,27.6,88,33.6,51,7.1,254
2026-05-25,Vietnam,Ho Chi Minh City,27.6,88,33.6,0,6.7,224
2026-05-26,Vietnam,Ho Chi Minh City,27.0,83,32.3,3,4.6,281
2026-05-27,Vietnam,Ho Chi Minh City,28.0,88,34.3,95,6.6,196
2026-05-28,Vietnam,Ho Chi Minh City,26.2,92,32.0,80,6.3,200
2026-05-29,Vietnam,Ho Chi Minh City,25.5,91,30.2,51,8.9,251
2026-05-30,Vietnam,Ho Chi Minh City,24.9,93,29.7,51,7.0,241
2026-05-31,Vietnam,Ho Chi Minh City,25.0,96,30.5,63,6.4,47
2026-06-01,Vietnam,Ho Chi Minh City,25.4,95,31.4,2,2.5,201
2026-06-02,Vietnam,Ho Chi Minh City,24.8,97,29.9,51,7.9,225
2026-06-03,Vietnam,Ho Chi Minh City,25.5,94,30.5,3,8.6,191
2026-06-04,Vietnam,Ho Chi Minh City,24.9,97,29.9,51,9.2,191
2026-06-05,Vietnam,Ho Chi Minh City,26.8,87,32.1,3,7.0,206
2026-06-06,Vietnam,Ho Chi Minh City,26.1,97,32.4,51,5.5,153
2026-06-07,Vietnam,Ho Chi Minh City,27.4,90,34.3,3,1.4,320
2026-06-08,Vietnam,Ho Chi Minh City,27.0,88,32.6,3,6.2,206
2026-06-09,Vietnam,Ho Chi Minh City,26.4,96,32.9,3,4.4,212
2026-06-10,Vietnam,Ho Chi Minh City,26.5,92,32.8,3,3.1,246
2026-06-11,Vietnam,Ho Chi Minh City,24.8,99,31.0,3,1.5,256
2026-06-12,Vietnam,Ho Chi Minh City,26.1,97,33.0,0,1.5,216
2026-06-13,Vietnam,Ho Chi Minh City,25.4,98,32.0,2,0.8,297
2026-06-14,Vietnam,Ho Chi Minh City,26.4,91,32.0,51,6.7,211
2026-06-15,Vietnam,Ho Chi Minh City,25.8,95,31.7,1,5.9,243
2026-06-16,Vietnam,Ho Chi Minh City,25.7,96,31.6,2,5.2,180
2026-06-17,Vietnam,Ho Chi Minh City,25.7,96,32.1,51,2.6,258
2026-06-18,Vietnam,Ho Chi Minh City,25.8,95,31.8,51,4.7,133
2026-06-19,Vietnam,Ho Chi Minh City,28.5,83,34.9,51,4.4,308
2026-06-20,Vietnam,Ho Chi Minh City,27.3,86,32.4,51,10.1,241
2026-06-21,Vietnam,Ho Chi Minh City,28.1,81,34.1,2,3.4,196
2026-06-22,Vietnam,Ho Chi Minh City,29.2,79,35.2,0,6.2,234
2026-06-23,Vietnam,Ho Chi Minh City,26.1,90,31.4,51,6.5,240
2026-06-24,Vietnam,Ho Chi Minh City,28.7,85,35.8,3,1.3,180
2026-06-25,Vietnam,Ho Chi Minh City,25.4,89,29.3,51,12.8,232
2026-06-26,Vietnam,Ho Chi Minh City,26.3,95,33.0,51,2.6,78
2026-06-27,Vietnam,Ho Chi Minh City,27.7,87,33.6,51,7.3,242
