date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Vietnam,Hue,27.8,94,35.1,95,3.8,199
2026-05-17,Vietnam,Hue,29.0,86,36.0,95,4.3,118
2026-05-17,Vietnam,Hue,28.7,86,35.3,3,5.9,125
2026-05-17,Vietnam,Hue,27.3,90,33.2,3,8.2,157
2026-05-18,Vietnam,Hue,25.9,97,32.1,81,5.3,198
2026-05-19,Vietnam,Hue,27.1,96,34.6,95,1.5,234
2026-05-20,Vietnam,Hue,27.4,94,34.3,95,4.6,339
2026-05-21,Vietnam,Hue,26.6,97,33.3,3,5.2,178
2026-05-22,Vietnam,Hue,29.0,88,36.3,95,3.7,223
2026-05-23,Vietnam,Hue,32.3,63,37.5,1,8.0,155
2026-05-24,Vietnam,Hue,32.6,57,36.6,1,9.9,102
2026-05-25,Vietnam,Hue,29.4,83,35.6,95,8.5,192
2026-05-26,Vietnam,Hue,29.2,77,34.5,0,8.2,213
2026-05-27,Vietnam,Hue,28.5,83,34.6,1,6.2,190
2026-05-28,Vietnam,Hue,28.6,83,34.9,95,5.1,174
