date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Vietnam,Nha Trang,27.6,93,34.3,95,6.6,191
2026-05-17,Vietnam,Nha Trang,27.8,89,34.7,3,2.7,278
2026-05-17,Vietnam,Nha Trang,27.7,94,35.3,95,2.3,266
2026-05-17,Vietnam,Nha Trang,27.6,97,35.1,95,3.5,258
2026-05-18,Vietnam,Nha Trang,27.0,95,34.0,3,3.1,220
2026-05-19,Vietnam,Nha Trang,27.2,93,33.9,3,5.0,226
2026-05-20,Vietnam,Nha Trang,27.5,88,33.5,3,6.0,201
2026-05-21,Vietnam,Nha Trang,27.4,93,34.5,95,2.9,263
2026-05-22,Vietnam,Nha Trang,28.2,85,34.7,3,3.1,260
2026-05-23,Vietnam,Nha Trang,30.7,67,36.0,2,3.9,254
2026-05-24,Vietnam,Nha Trang,31.3,71,36.7,95,10.6,156
2026-05-25,Vietnam,Nha Trang,28.9,79,34.9,0,4.5,284
2026-05-26,Vietnam,Nha Trang,28.7,76,33.9,2,5.8,277
2026-05-27,Vietnam,Nha Trang,28.2,79,33.5,2,5.5,297
2026-05-28,Vietnam,Nha Trang,28.5,87,35.6,95,2.4,306
2026-05-29,Vietnam,Nha Trang,27.0,89,33.4,80,1.8,135
2026-05-30,Vietnam,Nha Trang,26.1,96,32.8,51,2.0,297
2026-05-31,Vietnam,Nha Trang,24.5,96,29.8,63,5.3,280
2026-06-01,Vietnam,Nha Trang,24.9,98,30.6,61,4.7,268
2026-06-02,Vietnam,Nha Trang,25.8,99,32.3,3,3.8,281
2026-06-03,Vietnam,Nha Trang,26.6,99,33.6,51,4.8,245
2026-06-04,Vietnam,Nha Trang,26.8,94,33.2,3,5.0,244
2026-06-05,Vietnam,Nha Trang,27.1,95,34.0,95,4.2,245
2026-06-06,Vietnam,Nha Trang,29.1,91,36.8,95,5.9,198
2026-06-07,Vietnam,Nha Trang,27.4,95,35.0,95,1.9,253
2026-06-08,Vietnam,Nha Trang,27.6,95,35.1,95,3.1,246
2026-06-09,Vietnam,Nha Trang,27.7,98,35.4,95,4.2,230
2026-06-10,Vietnam,Nha Trang,27.8,89,34.4,95,5.3,305
2026-06-11,Vietnam,Nha Trang,26.6,98,33.5,2,4.4,282
2026-06-12,Vietnam,Nha Trang,26.7,93,33.4,0,2.7,290
2026-06-13,Vietnam,Nha Trang,27.7,92,34.8,95,3.8,205
2026-06-14,Vietnam,Nha Trang,30.1,75,35.9,1,6.9,210
2026-06-15,Vietnam,Nha Trang,29.4,85,36.7,1,2.9,210
2026-06-16,Vietnam,Nha Trang,29.4,88,36.8,2,5.2,209
2026-06-17,Vietnam,Nha Trang,30.7,71,36.7,0,4.4,187
2026-06-18,Vietnam,Nha Trang,29.8,74,35.1,2,8.5,176
2026-06-19,Vietnam,Nha Trang,29.7,73,34.4,1,11.6,164
2026-06-20,Vietnam,Nha Trang,29.7,73,34.0,0,13.0,153
2026-06-21,Vietnam,Nha Trang,29.4,78,34.9,1,9.7,146
2026-06-22,Vietnam,Nha Trang,29.9,72,35.6,0,3.6,273
2026-06-23,Vietnam,Nha Trang,31.6,62,36.3,1,7.1,164
2026-06-24,Vietnam,Nha Trang,32.6,60,37.0,1,10.3,175
2026-06-25,Vietnam,Nha Trang,33.0,58,38.1,3,4.1,241
2026-06-26,Vietnam,Nha Trang,32.0,64,37.3,3,7.0,162
2026-06-27,Vietnam,Nha Trang,31.1,73,38.0,51,2.8,310
2026-06-29,Vietnam,Nha Trang,28.7,88,35.8,3,3.8,273
2026-06-30,Vietnam,Nha Trang,29.0,85,35.9,2,4.4,32
